"Genes","ProtDesc","X1H_vs_H3H","Diff_Abund","negLog10_sca_adjPval","sca.t","sca.P.Value","AveExpr","count","sca.adj.pval","P.Value","adj.P.Val","SharedSignificant","unchanged","backgrdnd","barva"
"TXNIP","Thioredoxin-interacting protein",1.56,"Up in X3H",7.117,19.723480079413,1.85954032999141e-09,17.81,7,7.64090286983277e-08,5.95123602735847e-09,2.95911458604034e-07,TRUE,TRUE,TRUE,"#D7D7D7"
"FMO5","Flavin-containing monooxygenase 5",1.63,"Up in X3H",7.1,19.5586889207331,2.02159063633395e-09,18.3,13,7.93915525157479e-08,1.21433663630302e-08,4.7033911112185e-07,TRUE,TRUE,TRUE,"#D7D7D7"
"NCR3LG1","Natural cytotoxicity triggering receptor 3 ligand 1",-1.96,"Up in X1H",7.069,-19.2428865938271,2.37714114689965e-09,17.02,8,8.52926328555472e-08,1.00149388377188e-08,4.11516618769319e-07,TRUE,TRUE,TRUE,"#D7D7D7"
"PLXNB1","Plexin-B2;Plexin-B1",1.19,"Up in X3H",6.953,18.5083337518227,3.49989733826232e-09,16.72,9,1.11318804467496e-07,1.49340253922152e-08,5.35960178557672e-07,TRUE,TRUE,TRUE,"#D7D7D7"
"MGST3","Microsomal glutathione S-transferase 3",1.33,"Up in X3H",6.875,18.0420519209061,4.50825554458448e-09,18.18,4,1.33376740286532e-07,8.1011970899981e-10,1.06211548516509e-07,TRUE,TRUE,TRUE,"#D7D7D7"
"CTBS","Di-N-acetylchitobiase",2.21,"Up in X3H",6.813,17.6887177711276,5.48441202899777e-09,15.45,7,1.53797469078577e-07,2.07000554626426e-08,6.49618435245939e-07,TRUE,TRUE,TRUE,"#D7D7D7"
"SIAE","Sialate O-acetylesterase",1.41,"Up in X3H",6.648,16.8105099364695,9.07474534207753e-09,18.23,8,2.24666394096539e-07,3.24397127755774e-08,8.96942899500428e-07,TRUE,TRUE,TRUE,"#D7D7D7"
"AMACR","Alpha-methylacyl-CoA racemase",1.3,"Up in X3H",6.636,16.7010425266546,9.67928240903058e-09,18.1,13,2.31162494052257e-07,5.28338922805802e-08,1.26384917355075e-06,TRUE,TRUE,TRUE,"#D7D7D7"
"AKR1D1","Aldo-keto reductase family 1 member D1",1.72,"Up in X3H",6.381,15.4504035313441,2.08251730364402e-08,17.39,11,4.16292394785868e-07,8.85470776697649e-08,1.77118661558935e-06,TRUE,TRUE,TRUE,"#D7D7D7"
"CPQ","Carboxypeptidase Q",1.14,"Up in X3H",6.277,14.9319845801701,2.91001635871009e-08,18.82,7,5.2817689553643e-07,7.25399675036821e-08,1.57801098426208e-06,TRUE,TRUE,TRUE,"#D7D7D7"
"APP","Amyloid-beta precursor protein",-1.69,"Up in X1H",6.191,-14.5264355713827,3.80924898773864e-08,15.91,3,6.43980750298559e-07,2.16735371237398e-08,6.67928745631084e-07,TRUE,TRUE,TRUE,"#D7D7D7"
"PDCD4","Programmed cell death protein 4",1.78,"Up in X3H",5.916,13.4021081980207,8.3437553417652e-08,18.18,8,1.21302212179913e-06,2.76415107661081e-07,3.99889533503818e-06,TRUE,TRUE,TRUE,"#D7D7D7"
"SLC27A2","Very long-chain acyl-CoA synthetase",1.22,"Up in X3H",5.716,12.5522945316212,1.57145754992494e-07,17.49,14,1.92511683704056e-06,6.36894066735517e-07,7.50301738311657e-06,TRUE,TRUE,TRUE,"#D7D7D7"
"CD320","CD320 antigen",-1.92,"Up in X1H",5.703,-12.5039047602036,1.63099851427097e-07,17.8,4,1.9816464494746e-06,3.15186035623168e-07,4.37783045254058e-06,TRUE,TRUE,TRUE,"#D7D7D7"
"CHCHD2","Coiled-coil-helix-coiled-coil-helix domain-containing protein 2",-1.17,"Up in X1H",5.627,-12.2197266899461,2.03440132824903e-07,18.16,3,2.36196408753301e-06,2.83407578825057e-08,8.1010755744341e-07,TRUE,TRUE,TRUE,"#D7D7D7"
"LTF","Lactotransferrin",-1.58,"Up in X1H",5.61,-12.1479401610322,2.15275755162085e-07,18.91,2,2.45430952465136e-06,5.68396776040457e-08,1.32932953511122e-06,TRUE,TRUE,TRUE,"#D7D7D7"
"SERPINI1","Neuroserpin",1.4,"Up in X3H",5.514,11.7798064930763,2.89053688066514e-07,17.62,7,3.06263221094837e-06,7.79148799056691e-07,8.64957494187325e-06,TRUE,TRUE,TRUE,"#D7D7D7"
"NCEH1","Neutral cholesterol ester hydrolase 1",1.27,"Up in X3H",5.49,11.6894641712617,3.11115528759885e-07,17.64,14,3.23527343351888e-06,1.14872727947816e-06,1.16586952189919e-05,TRUE,TRUE,TRUE,"#D7D7D7"
"LOXL4","Lysyl oxidase homolog 4",-3.14,"Up in X1H",5.457,-11.5661505965569,3.44248760659115e-07,16.8,2,3.49385920552313e-06,6.86163783965665e-07,7.96084531318596e-06,TRUE,TRUE,TRUE,"#D7D7D7"
"TM7SF2","Delta(14)-sterol reductase TM7SF2",1.42,"Up in X3H",5.425,11.4447558414935,3.80661926364197e-07,17.9,6,3.76022807729041e-06,8.94727155171811e-07,9.55613822590543e-06,TRUE,TRUE,TRUE,"#D7D7D7"
"CADM1","Cell adhesion molecule 1",2.97,"Up in X3H",5.359,11.2264037169287,4.57197978118083e-07,15.92,5,4.37741170958689e-06,1.26938764373355e-06,1.2623473425162e-05,TRUE,TRUE,TRUE,"#D7D7D7"
"GLTPD2","Glycolipid transfer protein domain-containing protein 2",1.62,"Up in X3H",5.307,11.047459694708,5.32490452116245e-07,17.28,6,4.93074492202163e-06,1.32397218675087e-06,1.30565723816749e-05,TRUE,TRUE,TRUE,"#D7D7D7"
"ARSA","Arylsulfatase A",1.94,"Up in X3H",5.27,10.9260797574961,5.91218270184205e-07,15.39,5,5.37363825603678e-06,1.41277441739032e-06,1.37716412317933e-05,TRUE,TRUE,TRUE,"#D7D7D7"
"GSDME","Gasdermin-E",1.75,"Up in X3H",5.13,10.4881860027828,8.69617395070644e-07,16.75,8,7.41430277612825e-06,2.4408748252793e-06,2.13648762443456e-05,TRUE,TRUE,TRUE,"#D7D7D7"
"SPRY4","Protein sprouty homolog 4",-1.97,"Up in X1H",5.101,-10.402298956912,9.39487327848421e-07,19.37,3,7.91872723487052e-06,1.50045793367568e-06,1.44832130400636e-05,TRUE,TRUE,TRUE,"#D7D7D7"
"CDH2","Cadherin-2",1.41,"Up in X3H",5.046,10.2150847468088,1.11395102798413e-06,15.75,8,9.00443747620503e-06,3.00630535592218e-06,2.48093567517316e-05,TRUE,TRUE,TRUE,"#D7D7D7"
"KIFC1","Kinesin-like protein KIFC1",-1.4,"Up in X1H",5.006,-10.0919970467741,1.24773970568586e-06,18.09,9,9.87015486436263e-06,3.49065453843358e-06,2.75757048116309e-05,TRUE,TRUE,TRUE,"#D7D7D7"
"CAPN2","Calpain-2 catalytic subunit",2.21,"Up in X3H",5.005,10.0889879977812,1.25122219855449e-06,16.43,8,9.88448831621749e-06,3.46858129588651e-06,2.74379619355087e-05,TRUE,TRUE,TRUE,"#D7D7D7"
"PCDHGB5","Protocadherin gamma-B5",-2.1,"Up in X1H",4.962,-9.96088543545944,1.40976578143272e-06,15.8,3,1.09040315408332e-05,2.46925573017093e-06,2.15177999343466e-05,TRUE,TRUE,TRUE,"#D7D7D7"
"CP","Ceruloplasmin",1.68,"Up in X3H",4.908,9.8134301511646,1.61985380377348e-06,14.99,8,1.2367322525068e-05,4.33111055643848e-06,3.2855360464675e-05,TRUE,TRUE,TRUE,"#D7D7D7"
"CDIPT","CDP-diacylglycerol--inositol 3-phosphatidyltransferase",1.58,"Up in X3H",4.856,9.66808434945586,1.86070784671486e-06,16.7,2,1.39364662392555e-05,1.28273941497729e-06,1.27135161112573e-05,TRUE,TRUE,TRUE,"#D7D7D7"
"ASRGL1","Isoaspartyl peptidase/L-asparaginase",1.42,"Up in X3H",4.823,9.57069046984932,2.04378836874656e-06,16.51,4,1.50157781146767e-05,3.14561036510147e-06,2.55667260031667e-05,TRUE,TRUE,TRUE,"#D7D7D7"
"MAP1LC3A","Microtubule-associated proteins 1A/1B light chain 3 beta 2",-1.15,"Up in X1H",4.814,-9.54063890500724,2.10416838706893e-06,17.7,1,1.53476959449164e-05,7.375277333808e-08,1.58689149033243e-06,TRUE,TRUE,TRUE,"#D7D7D7"
"SLC30A9","Zinc transporter 9",1.26,"Up in X3H",4.728,9.28350239684726,2.7078194874286e-06,16.32,5,1.8717485872798e-05,4.84610157290403e-06,3.58364016868772e-05,TRUE,TRUE,TRUE,"#D7D7D7"
"AURKA","Aurora kinase A;Aurora kinase A;Aurora kinase B",-1.9,"Up in X1H",4.503,-8.67810451802401,5.01727474542552e-06,15.21,1,3.14377622856257e-05,5.16424341875595e-06,3.76779633893699e-05,TRUE,TRUE,TRUE,"#D7D7D7"
"CUL7","Cullin-7",1.77,"Up in X3H",4.461,8.56856272825497,5.62987939065476e-06,16.11,7,3.45918965259649e-05,1.34120529885772e-05,8.15612718740094e-05,TRUE,TRUE,TRUE,"#D7D7D7"
"YIF1A","Protein YIF1A",1.52,"Up in X3H",4.359,8.31167144951933,7.40977616934386e-06,15.39,3,4.37125080697982e-05,9.75175474754331e-06,6.34078382870481e-05,TRUE,TRUE,TRUE,"#D7D7D7"
"MXRA7","Matrix-remodeling-associated protein 7",1.2,"Up in X3H",4.164,7.81752067054401,1.28064926011896e-05,17.81,1,6.86201537538846e-05,3.78814630960544e-06,2.9492712781494e-05,TRUE,TRUE,TRUE,"#D7D7D7"
"CD99L2","CD99 antigen-like protein 2",1.96,"Up in X3H",4.1,7.66241189460258,1.52871006233928e-05,15.2,1,7.94150784799078e-05,1.91225921026139e-05,0.000108069128434734,TRUE,TRUE,TRUE,"#D7D7D7"
"AS3MT","Arsenite methyltransferase",1.4,"Up in X3H",4.01,7.45507312682359,1.94494580700102e-05,15.34,8,9.77760776552679e-05,4.28463749298843e-05,0.00021144453749802,TRUE,TRUE,TRUE,"#D7D7D7"
"ABCC6","Multidrug resistance-associated protein 6",2.06,"Up in X3H",3.964,7.34623751960042,2.21128667344992e-05,15.32,10,0.00010867261832893,4.98845656802212e-05,0.000239973150512089,TRUE,TRUE,TRUE,"#D7D7D7"
"SULT1C2","Sulfotransferase 1C2",2.23,"Up in X3H",3.962,7.34197740744241,2.2224843467665e-05,15.15,3,0.000109041790048237,4.05883093031669e-05,0.000203041742495847,TRUE,TRUE,TRUE,"#D7D7D7"
"MEAK7","MTOR-associated protein MEAK7",1.99,"Up in X3H",3.852,7.08870037486859,3.01234309736067e-05,15.34,5,0.000140457321568819,6.06782899685201e-05,0.000280714184318791,TRUE,TRUE,TRUE,"#D7D7D7"
"BCL2L13","Bcl-2-like protein 13",1.33,"Up in X3H",3.833,7.04231980669551,3.18745573884592e-05,15.77,7,0.000146995041584528,6.54529494582973e-05,0.000298370648647723,TRUE,TRUE,TRUE,"#D7D7D7"
"MRFAP1","MORF4 family-associated protein 1",-2.33,"Up in X1H",3.782,-6.92274190998669,3.69172869093703e-05,16.16,2,0.000165091576685394,6.11610382868317e-05,0.000282285384979082,TRUE,TRUE,TRUE,"#D7D7D7"
"P2RX4","P2X purinoceptor 4",1.48,"Up in X3H",3.699,6.73748838542914,4.65097802037913e-05,16.61,3,0.000200168578083677,6.59843649885575e-05,0.000300330375105611,TRUE,TRUE,TRUE,"#D7D7D7"
"AIF1L","Allograft inflammatory factor 1-like",2.48,"Up in X3H",3.693,6.72416572958196,4.72965598799444e-05,15.38,1,0.000202939626402923,7.5973128318537e-05,0.000334723008384798,TRUE,TRUE,TRUE,"#D7D7D7"
"SIDT2","SID1 transmembrane family member 2",1.85,"Up in X3H",3.511,6.34507625008752,7.69525665902353e-05,15.09,4,0.000308093305092619,0.000137892802975549,0.000539847656738278,TRUE,TRUE,TRUE,"#D7D7D7"
"GALNS","N-acetylgalactosamine-6-sulfatase",1.81,"Up in X3H",3.45,6.21598079133004,9.12127465572934e-05,16.15,7,0.000355069619328622,0.000178381807136373,0.000664663194474762,TRUE,TRUE,TRUE,"#D7D7D7"
"LDHD","Probable D-lactate dehydrogenase, mitochondrial",2.38,"Up in X3H",3.382,6.07988603766716,0.000109378196538935,15.83,6,0.000414865890333896,0.000210841825437171,0.0007602383187762,TRUE,TRUE,TRUE,"#D7D7D7"
"CBWD1","COBW domain-containing protein 2",1.92,"Up in X3H",3.374,6.06287069994618,0.00011190976893058,14.81,5,0.000422571858814451,0.000207163839832601,0.000750176524044981,TRUE,TRUE,TRUE,"#D7D7D7"
"KIF11","Kinesin-like protein KIF11",-1.15,"Up in X1H",3.28,-5.87515346984283,0.000144420636072586,16.19,7,0.000525254642041363,0.000264679826953056,0.000920158951869116,TRUE,TRUE,TRUE,"#D7D7D7"
"RBP5","Retinol-binding protein 5",1.58,"Up in X3H",3.208,5.73028630661534,0.000176417193715778,15.55,2,0.000618767359345736,0.000229881989238782,0.000818959928674044,TRUE,TRUE,TRUE,"#D7D7D7"
"TOM1L2","TOM1-like protein 2",1.61,"Up in X3H",3.153,5.6200402301149,0.00020583992623451,15.42,4,0.000703207184485908,0.000341165764919769,0.00113154586941159,TRUE,TRUE,TRUE,"#D7D7D7"
"ZNF114","Zinc finger protein 114",-1.73,"Up in X1H",3.039,-5.40173526277307,0.000280779112520658,15.28,1,0.000914347830921704,0.000365829978419401,0.00119724335304624,TRUE,TRUE,TRUE,"#D7D7D7"
"NT5C3B","7-methylguanosine phosphate-specific 5'-nucleotidase",1.32,"Up in X3H",2.959,5.25290983982199,0.000348311509798168,15.02,2,0.00109976478307138,0.000403012301267861,0.00129458403181429,TRUE,TRUE,TRUE,"#D7D7D7"
"LPGAT1","Acyl-CoA:lysophosphatidylglycerol acyltransferase 1",1.29,"Up in X3H",2.799,4.95834741874874,0.000538623284401495,15.61,6,0.00158922024094997,0.000890325187253798,0.00253882126890637,TRUE,TRUE,TRUE,"#D7D7D7"
"MRPL42","39S ribosomal protein L42, mitochondrial",1.7,"Up in X3H",2.763,4.89563922128888,0.000591950260474913,14.52,2,0.00172540378878328,0.000823990331158175,0.0023783174582746,TRUE,TRUE,TRUE,"#D7D7D7"
"TLCD4","TLC domain-containing protein 4",2.09,"Up in X3H",2.756,4.88330972074394,0.000603080523836228,15.26,2,0.00175525207060451,0.000903640725413955,0.00257415680713793,TRUE,TRUE,TRUE,"#D7D7D7"
"B3GLCT","Beta-1,3-glucosyltransferase",1.12,"Up in X3H",2.703,4.7945689431891,0.000690051843692586,15.2,5,0.00198013421878227,0.00105980295326421,0.00295237950775156,TRUE,TRUE,TRUE,"#D7D7D7"
"S100A10","Protein S100-A10",2.35,"Up in X3H",2.656,4.71425474040298,0.000780285016496756,15.5,1,0.00220800881999584,0.00115924740114164,0.00319630329569202,TRUE,TRUE,TRUE,"#D7D7D7"
"ARHGAP5","Rho GTPase-activating protein 5",1.57,"Up in X3H",2.64,4.68527098002161,0.000815852843090699,15.01,7,0.00228895271340335,0.00134912262675663,0.00364176942633165,TRUE,TRUE,TRUE,"#D7D7D7"
"MOB3A","MOB kinase activator 3A",1.46,"Up in X3H",2.558,4.541378941898,0.0010197248675492,15.31,2,0.00276522091718084,0.00132214602737895,0.00357384104339937,TRUE,TRUE,TRUE,"#D7D7D7"
"MAN2B2","Epididymis-specific alpha-mannosidase",1.33,"Up in X3H",2.444,4.35178715468827,0.00137416985815696,15.2,8,0.00359618003127588,0.00219491901049276,0.00548036759878914,TRUE,TRUE,TRUE,"#D7D7D7"
"TRPM4","Transient receptor potential cation channel subfamily M member 4",1.57,"Up in X3H",2.384,4.25568295510643,0.00160151810655858,15.3,7,0.00413085555209551,0.002518496780187,0.0061578286976721,TRUE,TRUE,TRUE,"#D7D7D7"
"GRTP1","Growth hormone-regulated TBC protein 1",1.48,"Up in X3H",2.324,4.15872144185372,0.00187138200994183,15.3,2,0.00474217017251642,0.00244523420881168,0.00600849286276525,TRUE,TRUE,TRUE,"#D7D7D7"
"PEX6","Peroxisome assembly factor 2",1.42,"Up in X3H",2.304,4.12490744263264,0.00197639889909323,14.18,3,0.00496575468617182,0.00273638461297648,0.00662758401759387,TRUE,TRUE,TRUE,"#D7D7D7"
"UBE2C","Ubiquitin-conjugating enzyme E2 C",-1.5,"Up in X1H",2.171,-3.91107649053605,0.00280090432390061,15.37,3,0.00673752968938762,0.00387526534033827,0.00903821246305935,TRUE,TRUE,TRUE,"#D7D7D7"
"CMC4","Cx9C motif-containing protein 4",1.59,"Up in X3H",2.116,3.82295153410616,0.0032390522673987,16.21,2,0.00766312365701643,0.00429852163761167,0.00986592417755944,TRUE,TRUE,TRUE,"#D7D7D7"
"PRSS8","Prostasin",1.54,"Up in X3H",2.115,3.82093608578171,0.00324987170217003,14.93,3,0.00767950913008789,0.00449331464556876,0.0102100394615324,TRUE,TRUE,TRUE,"#D7D7D7"
"LIPT2","Putative lipoyltransferase 2, mitochondrial",1.34,"Up in X3H",2.007,3.64857232161496,0.00432980315304129,15.25,2,0.0098384966422985,0.00543327246619358,0.0120271878722287,TRUE,TRUE,TRUE,"#D7D7D7"
"COA4","Cytochrome c oxidase assembly factor 4 homolog, mitochondrial",1.22,"Up in X3H",1.935,3.53298655679486,0.0052578308878013,15.33,2,0.0116170968495595,0.00639323537410296,0.0138872150178294,TRUE,TRUE,TRUE,"#D7D7D7"
"PAFAH2","Platelet-activating factor acetylhydrolase 2, cytoplasmic",1.29,"Up in X3H",1.913,3.49751324782808,0.00558222429028584,14.93,3,0.0122242861308739,0.00732178980727244,0.0156400831370509,TRUE,TRUE,TRUE,"#D7D7D7"
"DHRS2","Dehydrogenase/reductase SDR family member 2, mitochondrial (Fragment)",1.2,"Up in X3H",1.896,3.47151287638964,0.00583308100052861,18.27,2,0.0127031064704188,0.00705370232466399,0.0151604637323054,TRUE,TRUE,TRUE,"#D7D7D7"
"EPB41L1","Band 4.1-like protein 1 (Fragment)",1.47,"Up in X3H",1.85,3.39979888768367,0.00658710616057531,14.91,1,0.0141217054899,0.00818672602914794,0.0171350753146333,TRUE,TRUE,TRUE,"#D7D7D7"
"STAP2","Signal-transducing adaptor protein 2",1.32,"Up in X3H",1.843,3.38819880457806,0.00671820941596349,16.4,3,0.0143611434661329,0.00879521732051414,0.0182134312079351,TRUE,TRUE,TRUE,"#D7D7D7"
"MAPK9","Mitogen-activated protein kinase 9",1.54,"Up in X3H",1.814,3.34407740455629,0.00724191238908496,14.87,2,0.0153420678862212,0.00933206359724083,0.0192128811081677,TRUE,TRUE,TRUE,"#D7D7D7"
"NUDT7","Peroxisomal coenzyme A diphosphatase NUDT7",1.56,"Up in X3H",1.808,3.33337586948781,0.00737515055641113,16.49,2,0.015574149122871,0.00951641313464124,0.0195787957293714,TRUE,TRUE,TRUE,"#D7D7D7"
"TMED8","Protein TMED8",1.74,"Up in X3H",1.681,3.14423105851268,0.0101936613440642,15.08,2,0.0208273115237666,0.0132052551967208,0.0261585185801798,TRUE,TRUE,TRUE,"#D7D7D7"
"SERPINA6","Corticosteroid-binding globulin",1.38,"Up in X3H",1.443,2.78377861935442,0.0189886249010649,15.12,2,0.0360808264417472,0.0232696513298784,0.0428662910706383,TRUE,TRUE,TRUE,"#D7D7D7"
"SRD5A3","Polyprenol reductase",1.33,"Up in X3H",1.439,2.77699086907898,0.0192130538807726,14.83,1,0.0364093870239122,0.0229863603674959,0.0424501542741802,TRUE,TRUE,TRUE,"#D7D7D7"
"PGAP2","Post-GPI attachment to proteins factor 2",1.11,"Up in X3H",1.374,2.67721443755766,0.0228357580910545,15.08,1,0.042251150914562,0.0262245269932792,0.0473576932824813,TRUE,TRUE,TRUE,"#D7D7D7"
"CHCHD7","Coiled-coil-helix-coiled-coil-helix domain-containing protein 7",1.27,"Non-significant",0.617,1.46724680034094,0.172453581075841,15.76,1,0.241631029890066,0.18962061837439,0.259298636219382,TRUE,TRUE,TRUE,"#D7D7D7"
