"Genes","ProtDesc","X3H_vs_X5H","Diff_Abund","negLog10_sca_adjPval","sca.t","sca.P.Value","AveExpr","count","sca.adj.pval","P.Value","adj.P.Val","SharedSignificant","unchanged","backgrdnd"
"CP","Ceruloplasmin",0.96,"Up in X5H",5.476,13.2024197345608,7.87794361927947e-08,16.31,8,3.34487760327825e-06,2.95282111488545e-07,1.48066462176078e-05,TRUE,TRUE,TRUE
"ARHGAP31","Rho GTPase-activating protein 31",2.84,"Up in X5H",4.828,10.5282416560176,7.12492519008145e-07,17.25,1,1.48444304048282e-05,1.26037363686708e-06,3.5546389111111e-05,TRUE,TRUE,TRUE
"SPC24","Kinetochore protein Spc24",-1.91,"Up in X3H",4.697,-10.0571627428087,1.10284198630898e-06,14.7,3,2.00785108707392e-05,2.33478382893264e-06,5.27385816029074e-05,TRUE,TRUE,TRUE
"CYP3A4","Cytochrome P450 3A4;Cytochrome P450 3A4;Cytochrome P450 3A5",2.34,"Up in X5H",4.554,9.60756217612174,1.70059338092811e-06,15.74,1,2.79511417637545e-05,2.33522196720665e-06,5.27385816029074e-05,TRUE,TRUE,TRUE
"CPLX2","Complexin-2",-2.48,"Up in X3H",4.55,-9.59172561014182,1.72725356754623e-06,17.38,3,2.81974714754747e-05,4.41727060373379e-06,7.84894599468253e-05,TRUE,TRUE,TRUE
"DCDC2","Doublecortin domain-containing protein 2",-1.08,"Up in X3H",4.491,-9.39891237458948,2.09094429967574e-06,16.59,3,3.23145929140063e-05,1.5559004369002e-06,4.00272299353847e-05,TRUE,TRUE,TRUE
"REEP4","Receptor expression-enhancing protein 4",-1.41,"Up in X3H",4.351,-8.94574620982395,3.31828329202921e-06,15.26,3,4.45221819477026e-05,5.0823504894334e-06,8.61669565787319e-05,TRUE,TRUE,TRUE
"NT5E","5'-nucleotidase",1.23,"Up in X5H",4.205,8.50097476709905,5.31777806973617e-06,16.76,7,6.23946088296688e-05,1.45047170311432e-05,0.00016994932806589,TRUE,TRUE,TRUE
"CD99","CD99 antigen",-3.5,"Up in X3H",4.156,-8.35836738747635,6.21095022687923e-06,15.98,1,6.97708472747989e-05,1.38480315585661e-05,0.00016420601749907,TRUE,TRUE,TRUE
"RSRC2","Arginine/serine-rich coiled-coil protein 2",-1.55,"Up in X3H",4.037,-8.0232094289343,9.01867641467561e-06,15.48,2,9.1743776507099e-05,1.12588077678316e-05,0.000142651746385995,TRUE,TRUE,TRUE
"ESRRB","Steroid hormone receptor ERR2",1.46,"Up in X5H",3.984,7.87523124472701,1.06728385084002e-05,14.64,1,0.000103867081339151,5.99661209573704e-06,9.64183526371632e-05,TRUE,TRUE,TRUE
"TMEM263","Transmembrane protein 263",-1.47,"Up in X3H",3.949,-7.78772733129761,1.18034095858266e-05,15.3,3,0.0001123963936757,2.03765775998565e-05,0.000212642345076457,TRUE,TRUE,TRUE
"ECHDC2","Enoyl-CoA hydratase domain-containing protein 2, mitochondrial",2.59,"Up in X5H",3.808,7.42246010131719,1.81342325297793e-05,15.65,3,0.000155733314773156,4.19473839924849e-05,0.000348110338125572,TRUE,TRUE,TRUE
"CRELD2","Protein disulfide isomerase CRELD2",-1.41,"Up in X3H",3.807,-7.42058636034122,1.81749268708257e-05,15.55,3,0.000155856583035762,3.03094891446342e-05,0.000277618029827864,TRUE,TRUE,TRUE
"DNAJB1","DnaJ homolog subfamily B member 1;DnaJ homolog subfamily B member 1;DnaJ homolog subfamily B member 4",-1.18,"Up in X3H",3.552,-6.80313169742615,3.89098214322336e-05,17.44,1,0.000280633048651123,1.53573748606569e-05,0.000176302031898024,TRUE,TRUE,TRUE
"PBLD","Phenazine biosynthesis-like domain-containing protein",1.36,"Up in X5H",3.196,6.00250782998073,0.000112105137240818,16.06,3,0.000636589344581496,0.00018582674634514,0.00104320385021271,TRUE,TRUE,TRUE
"IMPA2","Inositol monophosphatase 2",-0.96,"Up in X3H",3.18,-5.96918823173669,0.000117368534226444,16.44,2,0.000661399635255111,8.39260668440263e-05,0.000574757566569565,TRUE,TRUE,TRUE
"ASB6","Ankyrin repeat and SOCS box protein 6",3.88,"Up in X5H",3.12,5.84264871122353,0.000139903281927472,16.66,1,0.000758347804624098,0.000276268188826797,0.00141163978695005,TRUE,TRUE,TRUE
"KIF15","Kinesin-like protein KIF15",-1.68,"Up in X3H",3.108,-5.81754555207559,0.000144901723199411,14.34,2,0.000779439541973562,0.000230600458154336,0.0012370470633719,TRUE,TRUE,TRUE
"UBAP2","Ubiquitin-associated protein 2",-1.21,"Up in X3H",3.028,-5.65365229365412,0.000182617842377313,14.97,5,0.000937163723631015,0.000348305401457119,0.0016865164160571,TRUE,TRUE,TRUE
"GATA4","Transcription factor GATA-4",-1.63,"Up in X3H",3.019,-5.63506897417364,0.000187515818374923,14.79,1,0.000957317599071977,0.000235911689614133,0.00126096609525459,TRUE,TRUE,TRUE
"UHRF2","E3 ubiquitin-protein ligase UHRF2;E3 ubiquitin-protein ligase UHRF2;E3 ubiquitin-protein ligase UHRF1",-1.68,"Up in X3H",3.006,-5.60586773893684,0.000195498224023967,15.56,1,0.000986999139547622,0.000254952694342126,0.00133618697291618,TRUE,TRUE,TRUE
"TANK","TRAF family member-associated NF-kappa-B activator",1.13,"Up in X5H",2.99,5.57648757949649,0.000203897153834458,15.69,1,0.00102361552807278,0.000134457545921109,0.000822735573128443,TRUE,TRUE,TRUE
"EEF1AKMT1","EEF1A lysine methyltransferase 1",-1.73,"Up in X3H",2.973,-5.54240533688535,0.000214125967493839,14.7,1,0.00106322213502092,0.000289579433711527,0.00146573268543294,TRUE,TRUE,TRUE
"RAB3D","Ras-related protein Rab-3D;Ras-related protein Rab-3D;Ras-related protein Rab-3D;Ras-related protein Rab-3D;Ras-related protein Rab-3D;Ras-related protein Rab-3A",-1.16,"Up in X3H",2.934,-5.46312325183015,0.000240101873026213,15.93,1,0.00116354036256847,0.000179013147410151,0.00101457930385619,TRUE,TRUE,TRUE
"MMP3","Stromelysin-1",1.58,"Up in X5H",2.893,5.38501884745641,0.000269005467935518,15.58,1,0.00127791912479958,0.000336238657276442,0.00164968833756609,TRUE,TRUE,TRUE
"FCF1","rRNA-processing protein FCF1 homolog",-1.61,"Up in X3H",2.854,-5.30860370015063,0.000300900795985304,17.42,2,0.00139860959139438,0.00046478361735037,0.00211910601474094,TRUE,TRUE,TRUE
"NAT1","Arylamine N-acetyltransferase 1",1.48,"Up in X5H",2.705,5.02645592284218,0.00045838904099091,14.89,1,0.00197367888510066,0.000554924150905732,0.00242323704864149,TRUE,TRUE,TRUE
"TK1","Thymidine kinase, cytosolic",-2.3,"Up in X3H",2.662,-4.9468343015539,0.000517270148415381,15,3,0.00217842524425182,0.000932209371247163,0.00365093325434026,TRUE,TRUE,TRUE
"MYO3B","Myosin-IIIb",-3.8,"Up in X3H",2.622,-4.8718164717018,0.000580130572459015,16.03,1,0.00238542918501737,0.00103395250588715,0.00394957842306926,TRUE,TRUE,TRUE
"MELTF","Melanotransferrin",1.62,"Up in X5H",2.612,4.85018708398523,0.0005997239380462,15.31,4,0.00244391635083978,0.00106056595176297,0.00403560690455401,TRUE,TRUE,TRUE
"HERC3","Probable E3 ubiquitin-protein ligase HERC3",-1.53,"Up in X3H",2.509,-4.66417044479967,0.000800212582529526,14.64,1,0.00309411235521859,0.00102974783720606,0.00394625515074369,TRUE,TRUE,TRUE
"TMEM94","Transmembrane protein 94",1.13,"Up in X5H",2.454,4.56345541549568,0.000937359282209525,15.02,3,0.00351574932891512,0.00137228109053707,0.00496319511779208,TRUE,TRUE,TRUE
"HSD17B13","17-beta-hydroxysteroid dehydrogenase 13",1.41,"Up in X5H",2.354,4.39186371429647,0.00123130048992903,14.97,3,0.00442893920906386,0.00192795353954051,0.00653736452347345,TRUE,TRUE,TRUE
"ANKRD18A","Ankyrin repeat domain-containing protein 20A1",-3.17,"Up in X3H",2.309,-4.31094114062199,0.00140228330375072,16.33,1,0.00491255790899528,0.00229442866202272,0.00752140409594928,TRUE,TRUE,TRUE
"PEX19","Peroxisomal biogenesis factor 19",-2.53,"Up in X3H",2.28,-4.26161704983603,0.00151860255977149,15.45,2,0.00524245702810263,0.00247975836830542,0.00800039818171382,TRUE,TRUE,TRUE
"SP1","Transcription factor Sp1",-1.3,"Up in X3H",2.253,-4.21158217900154,0.00164700395674267,14.56,1,0.00559112014460494,0.00192471023466609,0.00653010920786655,TRUE,TRUE,TRUE
"SAMD4B","Protein Smaug homolog 2",-1.54,"Up in X3H",2.181,-4.08889159788879,0.00201248830287675,13.51,2,0.00659351787825124,0.00293192496913877,0.00914989453712768,TRUE,TRUE,TRUE
"SELENOF","Selenoprotein F",1.82,"Up in X5H",2.112,3.97067383044212,0.00244559869031716,14.4,2,0.00772177558730343,0.00368310971827081,0.0110065455570749,TRUE,TRUE,TRUE
"ETFRF1","Electron transfer flavoprotein regulatory factor 1",1.78,"Up in X5H",2.059,3.87878066488201,0.00284905385716091,14.73,1,0.00873463817244617,0.00397796795091782,0.0116812091144321,TRUE,TRUE,TRUE
"TSPAN6","Tetraspanin-6",-1.48,"Up in X3H",2.04,-3.84774227155067,0.00300053142160996,17.18,3,0.00912809481833734,0.00452046981851692,0.012971687641205,TRUE,TRUE,TRUE
"ARVCF","Armadillo repeat protein deleted in velo-cardio-facial syndrome",1.54,"Up in X5H",2.035,3.84000231298498,0.00303959638151252,14.97,5,0.00922322655867156,0.00482523873135864,0.0136607356810761,TRUE,TRUE,TRUE
"MYO7A","Unconventional myosin-VIIa",1.36,"Up in X5H",1.928,3.65597540030854,0.00414233369741802,15.51,3,0.0118064491751553,0.00604627061579087,0.0164335246824229,TRUE,TRUE,TRUE
"KATNA1","Katanin p60 ATPase-containing subunit A1",-0.94,"Up in X3H",1.898,-3.60745878829558,0.00449726743569773,15.34,3,0.012659529694112,0.00598526544317959,0.0162919064334927,TRUE,TRUE,TRUE
"MBD3","Methyl-CpG-binding domain protein 3",-1.39,"Up in X3H",1.701,-3.28256136502023,0.00784342763145659,13.86,2,0.0199097217054177,0.0105998320973202,0.0258635903174614,TRUE,TRUE,TRUE
"CACTIN","Cactin",-1.38,"Up in X3H",1.672,-3.23197326629356,0.00855956394085356,15.4,3,0.0212981244062366,0.0119791497564795,0.0285578682953623,TRUE,TRUE,TRUE
"SMIM26","Small integral membrane protein 26",-1.36,"Up in X3H",1.634,-3.1700959883317,0.00952720467434274,15.14,1,0.0232176565313369,0.011930701538659,0.0284882812769351,TRUE,TRUE,TRUE
"TRBV10-2","T cell receptor beta variable 10-2",-3.54,"Up in X3H",1.629,-3.1615145064807,0.00966995377737159,15.8,1,0.0235074430980722,0.0138210635260825,0.0321206727744816,TRUE,TRUE,TRUE
"IGLV3-12","Immunoglobulin lambda variable 3-12",-2.94,"Up in X3H",1.626,-3.15581792873112,0.0097659163243124,16.28,1,0.0236823470864576,0.0138112938634827,0.0321206727744816,TRUE,TRUE,TRUE
"TMEM256","Transmembrane protein 256",1.32,"Up in X5H",1.568,3.06108221691844,0.011511871207496,16.4,2,0.0270300563233149,0.0151470980549839,0.0344019126791304,TRUE,TRUE,TRUE
"EPB41L2","Band 4.1-like protein 2 (Fragment)",-1.6,"Up in X3H",1.539,-3.01748684096401,0.0124188406804392,14.85,1,0.0288845441455026,0.0161320302466721,0.0361976575538713,TRUE,TRUE,TRUE
"SAC3D1","SAC3 domain-containing protein 1",-1.14,"Up in X3H",1.529,-3.00097134269961,0.0127810641017051,15.91,3,0.0295758921743406,0.0170666656219541,0.0377950455087388,TRUE,TRUE,TRUE
"SERPINA6","Corticosteroid-binding globulin",-1.63,"Up in X3H",1.498,-2.95015702424438,0.0139640182434596,14.99,2,0.0317911104065218,0.0187450241435617,0.0408524154171104,TRUE,TRUE,TRUE
"ZNF706","Zinc finger protein 706",-1.58,"Up in X3H",1.496,-2.94669939493457,0.0140484241551854,15.59,1,0.0319218608779694,0.0181144024495294,0.0398005641640792,TRUE,TRUE,TRUE
"FBLL1","rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1;rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1;rRNA 2'-O-methyltransferase fibrillarin",-1.64,"Up in X3H",1.392,-2.77795580429106,0.0188579272086249,20.96,3,0.0405550872635552,0.02531057437121,0.0519468153154525,TRUE,TRUE,TRUE
"EZH2","Histone-lysine N-methyltransferase EZH2",-1.15,"Up in X3H",1.318,-2.66310273863229,0.0230446608125657,14.65,3,0.0480631857694576,0.0297932283143235,0.0594062035726181,TRUE,TRUE,TRUE
"C1orf52","UPF0690 protein C1orf52",-1.84,"Non-significant",1.3,-2.63245294285911,0.0243106392659537,15.42,1,0.0501481535913341,0.0311685227252456,0.0616390872210155,TRUE,TRUE,TRUE
"ZNF324","Zinc finger protein 324A",4.24,"Non-significant",1.236,2.52952739342994,0.0290878199182094,16.52,1,0.0580285335320448,0.0381798539663691,0.0728507565040328,TRUE,TRUE,TRUE
"H1-2","Histone H1.4;Histone H1.5",-1.52,"Non-significant",1.19,-2.4573447138775,0.0329793068564262,20.23,12,0.0645488537193731,0.0431898466992885,0.0805789046113897,TRUE,TRUE,TRUE
"TK2","Thymidine kinase 2, mitochondrial",1.13,"Non-significant",1.044,2.21950125099974,0.0497495741855799,14.75,1,0.09045644450072,0.0581795643469,0.102345784828031,TRUE,TRUE,TRUE
