"Genes","ProtDesc","logFC","Diff_Abund","negLog10_sca_adjPval","sca.t","sca.P.Value","AveExpr","count","sca.adj.pval","P.Value","adj.P.Val"
"ALDH6A1","Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",0.92,"Up in X3",7.082,22.1886486507545,5.73638031246241e-10,20.6,24,8.27857617288782e-08,1.30858758759286e-08,1.35840574662929e-06
"CRYL1","Lambda-crystallin homolog",1.42,"Up in X3",7.07,22.0734629697495,6.04312967297937e-10,18.71,13,8.51361863690926e-08,4.62813959730285e-09,8.05552797350784e-07
"HDHD3","Haloacid dehalogenase-like hydrolase domain-containing protein 3",1.21,"Up in X3",7.063,21.9874072128037,6.28403605827099e-10,19.68,12,8.64712589692778e-08,5.0813373428804e-09,8.12601974535765e-07
"FMO5","Flavin-containing monooxygenase 5",1.34,"Up in X3",6.949,21.3659231079912,8.37093324424785e-10,18.8,13,1.12570027286851e-07,6.35899573717222e-09,9.17711653093854e-07
"GATD3A","Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",0.77,"Up in X3",6.939,21.269597035167,8.75763527372517e-10,20.52,11,1.15153173143626e-07,9.62380049682735e-09,1.11369283335079e-06
"DECR2","Peroxisomal 2,4-dienoyl-CoA reductase",0.97,"Up in X3",6.895,20.9713014077368,1.00848160041321e-09,19.51,10,1.27208157613029e-07,6.64278560327183e-09,9.35841962251414e-07
"FABP1","Fatty acid-binding protein, liver",1.45,"Up in X3",6.895,20.9672247587814,1.01044167784559e-09,24.09,8,1.27208157613029e-07,4.08573566234008e-09,7.79848319808588e-07
"DAB2","Disabled homolog 2",1.13,"Up in X3",6.866,20.7371944860756,1.12810713635988e-09,18.84,13,1.36245126952477e-07,9.5494787984977e-09,1.11369283335079e-06
"P4HA1","Prolyl 4-hydroxylase subunit alpha-1",1.12,"Up in X3",6.866,20.7368829100195,1.12827635975518e-09,21.52,39,1.36245126952477e-07,1.5706766909059e-08,1.4341832972679e-06
"DPP4","Dipeptidyl peptidase 4",2.13,"Up in X3",6.827,20.4716036703206,1.28298331050334e-09,18.74,24,1.48851220553887e-07,8.05628497535028e-09,1.05358336021893e-06
"UGT1A1","UDP-glucuronosyltransferase 1-6;UDP-glucuronosyltransferase 1A1",1.24,"Up in X3",6.827,20.4947015293429,1.26862890602455e-09,22.04,11,1.48851220553887e-07,8.19077819335315e-09,1.05358336021893e-06
"AKR7A2","Aflatoxin B1 aldehyde reductase member 2",1,"Up in X3",6.82,20.3956218619236,1.33147315306642e-09,19.48,12,1.51506281667192e-07,1.13196617692631e-08,1.2403414571987e-06
"ACSS3","Acyl-CoA synthetase short-chain family member 3, mitochondrial",0.75,"Up in X3",6.807,20.2997835642882,1.39552071936199e-09,20.69,34,1.55798039555941e-07,4.72334849675618e-08,2.80353752418039e-06
"CKAP5","Cytoskeleton-associated protein 5",-0.64,"Up in X1",6.775,-20.1104982732946,1.53216946413621e-09,19,37,1.67886050357295e-07,9.27312424025168e-08,4.38952609036554e-06
"CES2","Cocaine esterase",1.02,"Up in X3",6.752,19.9692552945062,1.64368440320129e-09,20.58,20,1.76830556613492e-07,2.01637304951798e-08,1.56985254394709e-06
"NOLC1","Nucleolar and coiled-body phosphoprotein 1",-1.1,"Up in X1",6.727,-19.8164791257361,1.77441097368108e-09,20.58,12,1.87485530915553e-07,1.30722822461582e-08,1.35840574662929e-06
"WDR74","WD repeat-containing protein 74",-1.09,"Up in X1",6.722,-19.7569646133022,1.82838443648214e-09,18.44,9,1.89799135274821e-07,8.54580689206777e-09,1.05468045329367e-06
"CLYBL","Citramalyl-CoA lyase, mitochondrial",1.83,"Up in X3",6.712,19.6091831803289,1.97034983186222e-09,17.65,9,1.94309332585479e-07,9.09653205819361e-09,1.09845265690473e-06
"GAA","Lysosomal alpha-glucosidase",0.71,"Up in X3",6.712,19.6403801211273,1.93940387110664e-09,20,19,1.94309332585479e-07,5.01373891219568e-08,2.9084601121041e-06
"NAGK","N-acetyl-D-glucosamine kinase",1.12,"Up in X3",6.712,19.6244467435978,1.95514199657818e-09,17.61,10,1.94309332585479e-07,1.10074497903692e-08,1.22888830961537e-06
"PLOD2","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",1.23,"Up in X3",6.696,19.5063000979027,2.07630168086776e-09,19.5,28,2.01401263044173e-07,2.00416727665003e-08,1.56985254394709e-06
"DDX56","Probable ATP-dependent RNA helicase DDX56",-0.65,"Up in X1",6.683,-19.3845601913389,2.20980917294341e-09,18.85,14,2.07546680576288e-07,4.65259559963452e-08,2.80353752418039e-06
"ETHE1","Persulfide dioxygenase ETHE1, mitochondrial",0.85,"Up in X3",6.683,19.3953066262018,2.19765342185737e-09,20.5,10,2.07546680576288e-07,1.40206277712599e-08,1.37065464902162e-06
"MTARC2","Mitochondrial amidoxime reducing component 2",1.75,"Up in X3",6.647,19.1919734542688,2.44062628802386e-09,17.03,7,2.25643527284956e-07,8.55579884368703e-09,1.05468045329367e-06
"ACAA2","3-ketoacyl-CoA thiolase, mitochondrial",0.56,"Up in X3",6.624,19.0471467903029,2.63159952263446e-09,21.15,22,2.37950878143643e-07,1.53574489174969e-07,5.54085519785545e-06
"PRODH2","Hydroxyproline dehydrogenase",1.28,"Up in X3",6.624,19.0307909181908,2.65417575755964e-09,17.66,12,2.37950878143643e-07,1.64269887465463e-08,1.4341832972679e-06
"CRAT","Carnitine O-acetyltransferase",0.96,"Up in X3",6.623,18.9985593842878,2.69928900849659e-09,19.34,16,2.38383478556333e-07,2.82373963372262e-08,1.96565498973373e-06
"CYB5R3","NADH-cytochrome b5 reductase 3",0.74,"Up in X3",6.597,18.7042243011752,3.15241133939269e-09,23.17,19,2.52969744222588e-07,6.03806158418457e-08,3.36356261294057e-06
"EPHX2","Bifunctional epoxide hydrolase 2",1.16,"Up in X3",6.597,18.7122716330094,3.13896850559655e-09,18.51,10,2.52969744222588e-07,1.64820794683484e-08,1.4341832972679e-06
"ERBB2","Receptor tyrosine-protein kinase erbB-2",0.94,"Up in X3",6.597,18.7915823861937,3.00979022031171e-09,17.32,10,2.52969744222588e-07,1.73909485719267e-08,1.47447164718329e-06
"GNL3","Guanine nucleotide-binding protein-like 3",-0.63,"Up in X1",6.597,-18.7967815974793,3.00152768939287e-09,20.56,22,2.52969744222588e-07,1.04313924585172e-07,4.64079317120651e-06
"METTL7A","Methyltransferase-like protein 7A",0.99,"Up in X3",6.597,18.6974806166077,3.16372504182381e-09,20.8,9,2.52969744222588e-07,1.41663367332625e-08,1.37065464902162e-06
"PPA2","Inorganic pyrophosphatase 2, mitochondrial",0.65,"Up in X3",6.597,18.7464525135502,3.08256602975571e-09,20.44,17,2.52969744222588e-07,7.7161515949174e-08,3.95349360386076e-06
"PTK7","Inactive tyrosine-protein kinase 7",0.85,"Up in X3",6.597,18.7062800375711,3.14897130454628e-09,19.68,30,2.52969744222588e-07,5.51189307746922e-08,3.16639527566848e-06
"ABAT","4-aminobutyrate aminotransferase, mitochondrial",0.97,"Up in X3",6.541,18.4321228833033,3.64624667459412e-09,20.49,32,2.87664554314312e-07,4.67743292505735e-08,2.80353752418039e-06
"FUCA1","Tissue alpha-L-fucosidase",1.13,"Up in X3",6.532,18.3686258483261,3.77330675345686e-09,20.41,12,2.93771790265845e-07,2.41137203543196e-08,1.76149238687049e-06
"CAPRIN1","Caprin-1",-0.7,"Up in X1",6.521,-18.2959478669739,3.92472223179481e-09,19.23,9,3.01591966825063e-07,1.74434705598835e-08,1.47447164718329e-06
"AMACR","Alpha-methylacyl-CoA racemase",1.32,"Up in X3",6.514,18.1545700902434,4.23869276926095e-09,18.6,13,3.05857867264842e-07,2.53576385940073e-08,1.81662849086394e-06
"DNMT1","DNA (cytosine-5)-methyltransferase 1",-1.26,"Up in X1",6.514,-18.1682301270269,4.20718744791483e-09,17.83,19,3.05857867264842e-07,3.09494708643168e-08,2.11821528554403e-06
"LGALS1","Galectin-1",0.9,"Up in X3",6.514,18.1685042462743,4.20655785389135e-09,20.15,10,3.05857867264842e-07,2.37657144005411e-08,1.75777165135002e-06
"SFXN3","Sideroflexin-3",1.22,"Up in X3",6.514,18.2277167712063,4.07294727090217e-09,19.23,19,3.05857867264842e-07,3.1346337311629e-08,2.11821528554403e-06
"SLC13A5","Solute carrier family 13 member 5",1.62,"Up in X3",6.514,18.1927418067625,4.15129513085837e-09,19.07,8,3.05857867264842e-07,1.61656168846884e-08,1.4341832972679e-06
"TXNIP","Thioredoxin-interacting protein",1.63,"Up in X3",6.5,18.0723381605922,4.43389757217895e-09,17.61,7,3.1608881848895e-07,1.47202186269851e-08,1.382532279617e-06
"COMT","Catechol O-methyltransferase",0.9,"Up in X3",6.469,17.8992594313021,4.87772838194724e-09,20.34,16,3.39547280423316e-07,4.8690863656759e-08,2.85251326987171e-06
"PKP3","Plakophilin-3",0.67,"Up in X3",6.469,17.9122976027377,4.84265317482854e-09,18.16,23,3.39547280423316e-07,1.2175649980483e-07,5.03799447094529e-06
"ALDH4A1","Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",0.65,"Up in X3",6.465,17.862741397422,4.97745866301137e-09,21.57,27,3.42460731500445e-07,1.47754057193163e-07,5.45522317355516e-06
"CAPN2","Calpain-2 catalytic subunit",2.44,"Up in X3",6.435,17.7171332553767,5.39790825156318e-09,16.23,8,3.67119806028728e-07,2.19215700035055e-08,1.66294781680439e-06
"SERPINI1","Neuroserpin",1.72,"Up in X3",6.428,17.6651522105977,5.55730351712867e-09,18.02,7,3.73665510350572e-07,1.88803073071194e-08,1.56888010956111e-06
"GEMIN5","Gem-associated protein 5",-0.77,"Up in X1",6.419,-17.6116458670996,5.72677654245923e-09,17.83,27,3.80734121367767e-07,1.00722245071283e-07,4.54941621440291e-06
"SRXN1","Sulfiredoxin-1",-0.74,"Up in X1",6.404,-17.5289452383977,5.99995819845138e-09,20.15,11,3.94463918447076e-07,4.57838586748203e-08,2.80353752418039e-06
"CKAP4","Cytoskeleton-associated protein 4",0.59,"Up in X3",6.404,17.470896114628,6.20022421905032e-09,21.74,41,3.94480932302373e-07,2.59482779554519e-07,7.71537490765873e-06
"MVD","Diphosphomevalonate decarboxylase",0.97,"Up in X3",6.404,17.4856837753615,6.14852200396907e-09,19.65,8,3.94480932302373e-07,1.94732630035146e-08,1.56888010956111e-06
"SPATA20","Spermatogenesis-associated protein 20",1.29,"Up in X3",6.404,17.4751228822294,6.18539771502744e-09,18.04,18,3.94480932302373e-07,4.10730117802969e-08,2.59711589927298e-06
"CPQ","Carboxypeptidase Q",1.35,"Up in X3",6.376,17.3370352396446,6.69051505662617e-09,18.72,7,4.2114657010699e-07,1.96209444156705e-08,1.56888010956111e-06
"EXOSC10","Exosome component 10",-0.56,"Up in X1",6.368,-17.2605703775549,6.98952443931884e-09,19.17,22,4.28580414836305e-07,2.55202330160175e-07,7.68455627932294e-06
"NAGA","Alpha-N-acetylgalactosaminidase",1.1,"Up in X3",6.368,17.2515111542922,7.02590843993942e-09,18.35,5,4.28580414836305e-07,3.50108684120689e-09,7.31312884734731e-07
"SIAE","Sialate O-acetylesterase",1.74,"Up in X3",6.368,17.2627741218433,6.9807049080082e-09,18.17,8,4.28580414836305e-07,2.67108231417729e-08,1.88152310154607e-06
"CFB","Complement factor B",1.58,"Up in X3",6.368,17.2155526472068,7.1723852564796e-09,18.19,17,4.28969885966956e-07,3.97331584582923e-08,2.56478888414415e-06
"NOP53","Ribosome biogenesis protein NOP53",-1.23,"Up in X1",6.368,-17.1968746708402,7.24978681708562e-09,17.16,5,4.28969885966956e-07,6.2481435604869e-09,9.17711653093854e-07
"SLC2A14","Solute carrier family 2, facilitated glucose transporter member 3",1.72,"Up in X3",6.368,17.206050424414,7.21164879870318e-09,22.26,4,4.28969885966956e-07,7.84104290455772e-09,1.05358336021893e-06
"FAM169A","Soluble lamin-associated protein of 75 kDa",0.91,"Up in X3",6.364,17.1666603685276,7.37693844452708e-09,19.85,17,4.32171730458086e-07,6.92000786336939e-08,3.72233513886879e-06
"PDZK1","Na(+)/H(+) exchange regulatory cofactor NHE-RF3",1.45,"Up in X3",6.36,17.133859479245,7.51774583591149e-09,17.23,12,4.36102961873415e-07,3.80917423671417e-08,2.50432043984864e-06
"NOP2","Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase",-0.62,"Up in X1",6.347,-17.0621991957956,7.83571698547638e-09,20.84,23,4.50135314592852e-07,2.04580090447771e-07,6.78346062111829e-06
"DPYSL2","Dihydropyrimidinase-related protein 2",1.07,"Up in X3",6.327,16.9664954053201,8.28356106927865e-09,21.05,29,4.71286835066555e-07,7.2358947094034e-08,3.7556832452228e-06
"CTNNA1","Catenin alpha-2;Catenin alpha-1",0.86,"Up in X3",6.321,16.9287842635087,8.46766417705934e-09,18.36,7,4.77173037482477e-07,1.43621071893426e-08,1.37065464902162e-06
"ACOT1","Acyl-coenzyme A thioesterase 1",0.65,"Up in X3",6.314,16.885377629586,8.68513717738993e-09,22.64,30,4.84810912062417e-07,2.16765350991299e-07,7.0472559440413e-06
"GTPBP4","Nucleolar GTP-binding protein 1",-0.62,"Up in X1",6.287,-16.7631604189353,9.33100562326089e-09,20.28,22,5.15995890400324e-07,2.14610313924988e-07,7.0157415883655e-06
"DHRS7","Dehydrogenase/reductase SDR family member 7",0.68,"Up in X3",6.272,16.6873184945419,9.75813336523523e-09,19.81,12,5.34619214093489e-07,9.02456192596538e-08,4.30631717064009e-06
"MCM5","DNA replication licensing factor MCM5",-0.82,"Up in X1",6.247,-16.5749671858365,1.04307321920113e-08,19.27,14,5.66226076881933e-07,8.95618595375934e-08,4.30631717064009e-06
"GLB1","Beta-galactosidase",0.73,"Up in X3",6.242,16.5395251557466,1.06533138613636e-08,20.42,20,5.73051437433534e-07,1.46682087260916e-07,5.45522317355516e-06
"AKR1D1","Aldo-keto reductase family 1 member D1",1.91,"Up in X3",6.238,16.5089895751502,1.08492554324865e-08,17.46,11,5.78333733279482e-07,4.73810634473616e-08,2.80353752418039e-06
"DHRS3","Short-chain dehydrogenase/reductase 3",1.03,"Up in X3",6.233,16.4735443766058,1.10816632017496e-08,17.84,6,5.85448224685289e-07,1.43232059080815e-08,1.37065464902162e-06
"MDC1","Mediator of DNA damage checkpoint protein 1",-0.96,"Up in X1",6.215,-16.3911652599994,1.16431416766332e-08,17.56,21,6.09667869917158e-07,1.00523133876801e-07,4.54941621440291e-06
"ERO1A","ERO1-like protein beta;ERO1-like protein alpha",0.74,"Up in X3",6.203,16.3156069765028,1.21855972247989e-08,21.84,33,6.26975467644656e-07,1.91384721196078e-07,6.50818043285743e-06
"GDE1","Glycerophosphodiester phosphodiesterase 1",0.9,"Up in X3",6.203,16.3215732241327,1.21417730196163e-08,19.28,7,6.26975467644656e-07,2.31956861742129e-08,1.73732753282047e-06
"APOA4","Apolipoprotein A-IV",1.72,"Up in X3",6.194,16.252166050653,1.26624551780871e-08,19.64,33,6.4037390845078e-07,6.70739390432905e-08,3.64106878274449e-06
"SEMA4G","Semaphorin-4G",2.3,"Up in X3",6.194,16.2541174941343,1.26474862037632e-08,15.89,5,6.4037390845078e-07,3.52583772553532e-08,2.3440878451677e-06
"ARSB","Arylsulfatase B",0.53,"Up in X3",6.192,16.231555370933,1.28217433970167e-08,20.12,16,6.42934370170746e-07,3.05012114572157e-07,8.60447428915397e-06
"CRTAP","Cartilage-associated protein",0.53,"Up in X3",6.144,16.0359858132098,1.44472408262869e-08,18.6,12,7.18355663606216e-07,1.81510013631712e-07,6.32050784649552e-06
"P4HA2","Prolyl 4-hydroxylase subunit alpha-2",1.15,"Up in X3",6.137,15.9971062353983,1.47965486008177e-08,19.17,23,7.29593150591987e-07,9.96315419516408e-08,4.54941621440291e-06
"APLP2","Amyloid-like protein 2",-1.22,"Up in X1",6.132,-15.9635795496601,1.51051935285835e-08,18.81,11,7.38656447178751e-07,7.14341627474112e-08,3.7556832452228e-06
"CYB5R1","NADH-cytochrome b5 reductase 1",0.85,"Up in X3",6.122,15.9152748417215,1.55623434418716e-08,18.85,11,7.54773656930774e-07,8.88627061875199e-08,4.30631717064009e-06
"APOA2","Apolipoprotein A-II",-0.97,"Up in X1",6.108,-15.8504357127181,1.6199942761009e-08,20.23,6,7.79309441600732e-07,1.91872154525134e-08,1.56888010956111e-06
"KIF4A","Chromosome-associated kinesin KIF4A",-1.34,"Up in X1",6.099,-15.8025974014512,1.66886847662504e-08,16.46,10,7.96346352918579e-07,7.09385073435436e-08,3.7556832452228e-06
"PDCD4","Programmed cell death protein 4",1.46,"Up in X3",6.092,15.7652787113181,1.70811595275394e-08,18.35,8,8.08553767395606e-07,5.99662958083993e-08,3.36356261294057e-06
"NEK9","Serine/threonine-protein kinase Nek9",0.81,"Up in X3",6.074,15.6867493569801,1.79404472511015e-08,17.24,15,8.42489098291806e-07,1.45915805737792e-07,5.45522317355516e-06
"DHRS1","Dehydrogenase/reductase SDR family member 1",0.73,"Up in X3",6.054,15.5881093630281,1.90874802997631e-08,18.77,10,8.82348601044518e-07,9.80254347253933e-08,4.54941621440291e-06
"ERAP1","Endoplasmic reticulum aminopeptidase 1",0.84,"Up in X3",6.054,15.5974328628848,1.89757001221356e-08,18.32,22,8.82348601044518e-07,1.81593093443339e-07,6.32050784649552e-06
"SLC3A2","4F2 cell-surface antigen heavy chain",-0.73,"Up in X1",6.052,-15.5682706566383,1.9327733565411e-08,21.23,28,8.86528678345248e-07,2.57147565202965e-07,7.68455627932294e-06
"REEP6","Receptor expression-enhancing protein 6",1.09,"Up in X3",6.049,15.5456213558026,1.96060773315864e-08,21.3,6,8.92378150546127e-07,3.15029483062151e-08,2.11821528554403e-06
"DPEP1","Dipeptidase 1",1.51,"Up in X3",6.049,15.5305117281126,1.97942017492502e-08,19.03,7,8.94063295803918e-07,6.08249450033195e-08,3.36356261294057e-06
"FLOT2","Flotillin-2",0.71,"Up in X3",6.049,15.5183016475315,1.99476682715068e-08,19.92,24,8.94169342140193e-07,2.67544762495237e-07,7.87593213773293e-06
"ESF1","ESF1 homolog",-1.13,"Up in X1",6.041,-15.4759381471982,2.04903078507494e-08,18.1,13,9.09234547717924e-07,1.07915311106417e-07,4.71961537102304e-06
"NNT","NAD(P) transhydrogenase, mitochondrial",0.49,"Up in X3",6.041,15.4682060596269,2.05910815268213e-08,19.75,28,9.09234547717924e-07,8.61165812325613e-07,1.69286315997696e-05
"PRPF6","Pre-mRNA-processing factor 6",-0.38,"Up in X1",6.039,-15.4468429944483,2.08723403198802e-08,19.9,34,9.14826945723935e-07,2.68307977824871e-06,3.72670963565672e-05
"ALDH5A1","Succinate-semialdehyde dehydrogenase, mitochondrial",0.58,"Up in X3",6.036,15.4142096195375,2.13101291925786e-08,20.98,18,9.19811779892096e-07,3.67927683451262e-07,9.85080589584216e-06
"PDIA5","Protein disulfide-isomerase A5",0.72,"Up in X3",6.036,15.4129812136398,2.13268037720953e-08,20.06,24,9.19811779892096e-07,2.69775298661041e-07,7.90227941671969e-06
"TKFC","Triokinase/FMN cyclase",1.09,"Up in X3",6.036,15.3954038167449,2.15669724845624e-08,22.17,33,9.19811779892096e-07,1.51660793137305e-07,5.50537983431554e-06
"TPP1","Tripeptidyl-peptidase 1",0.91,"Up in X3",6.036,15.3924311043125,2.16078819342575e-08,22.01,14,9.19811779892096e-07,1.39971585602747e-07,5.36704743561655e-06
"EEFSEC","Selenocysteine-specific elongation factor",0.86,"Up in X3",6.028,15.3514546248615,2.21805232058331e-08,17.64,12,9.37443970063675e-07,1.31214777392988e-07,5.17598558556206e-06
"ETFDH","Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial",0.96,"Up in X3",6.019,15.2956844113394,2.29867526574516e-08,18.62,11,9.57835320240431e-07,1.14750733836796e-07,4.84985780080231e-06
"SOD2","Superoxide dismutase [Mn], mitochondrial",0.86,"Up in X3",6.019,15.3063476641198,2.28301558743246e-08,22.18,18,9.57835320240431e-07,1.84461310851531e-07,6.3827928439094e-06
