Genes,ProtDesc,X1_vs_X1H,Diff_Abund,negLog10_sca_adjPval,sca.t,sca.P.Value,AveExpr,count,sca.adj.pval,P.Value,adj.P.Val,logFC
COMP,Thrombospondin-4;Cartilage oligomeric matrix protein,7.32,Up in X1H,9.378,40.5185367044445,1.6263988030459199e-12,17.65,11,4.18408770331423e-10,1.10471874892964e-11,3.26831041870835e-9,7.32
LAMB1,Laminin subunit beta-1,1.41,Up in X1H,9.264,39.3022321634378,2.20873167195154e-12,19.59,31,5.44544387622386e-10,1.55818405071666e-10,2.49183108867311e-8,1.41
CLU,Clusterin,7.01,Up in X1H,9.098,37.6825902256371,3.3696739009014697e-12,20.64,19,7.975344188653601e-10,2.29283066589734e-11,5.21795348081328e-9,7.01
C7,Complement component C7,6.44,Up in X1H,9.006,36.6293163547482,4.47826288699383e-12,17.94,4,9.87271719231888e-10,1.7231190713534398e-11,4.1560501425920504e-9,6.44
FERMT3,Fermitin family homolog 3,5.05,Up in X1H,9.006,36.5965324007,4.51866646980528e-12,16.21,5,9.87271719231888e-10,1.7559785966672497e-11,4.1560501425920504e-9,5.05
FRAS1,Extracellular matrix protein FRAS1,3.63,Up in X1H,9.006,36.4750622318669,4.6718959165950396e-12,17.5,27,9.87271719231888e-10,4.1256182678281396e-11,8.44296341157309e-9,3.63
THBS4,Thrombospondin-4;Thrombospondin-4;Cartilage oligomeric matrix protein,6.11,Up in X1H,8.885,35.3559110975291,6.3857505161015596e-12,17.15,3,1.30291330357838e-9,1.68218981794998e-11,4.1560501425920504e-9,6.11
ASS1,Argininosuccinate synthase,2.16,Up in X1H,8.868,35.0959418542274,6.876128484068779e-12,18.71,8,1.3562017413411702e-9,3.0595382776326595e-11,6.704921477315731e-9,2.16
SIL1,Nucleotide exchange factor SIL1,1.9,Up in X1H,8.864,34.9525195585674,7.1642609419720394e-12,18.1,11,1.36744941914995e-9,6.45090375848267e-11,1.15666659208915e-8,1.9
C8B,Complement component C8 beta chain,5.18,Up in X1H,8.825,34.5269162940229,8.100301995220159e-12,16.59,3,1.4977964658036802e-9,1.55301949847393e-11,4.1560501425920504e-9,5.18
MATN3,Matrilin-3,7.93,Up in X1H,8.807,34.2860605484452,8.68898304763502e-12,17.96,21,1.5579609906926202e-9,5.365753886909009e-11,9.921614296512691e-9,7.93
TGM2,Protein-glutamine gamma-glutamyltransferase 2,4.66,Up in X1H,8.716,33.4730107662098,1.1050876220003198e-11,18.56,25,1.92317748805173e-9,7.611248903609159e-11,1.32458116948986e-8,4.66
LGALS3BP,Galectin-3-binding protein,1.6,Up in X1H,8.671,33.0319941483272,1.2620873269399e-11,22.04,24,2.13364877528668e-9,2.7869921380957703e-10,3.83503080956108e-8,1.6
MAN1A1,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",2.19,Up in X1H,8.454,31.3370215845082,2.13844717214597e-11,21.43,21,3.51477553266325e-9,2.25948998222582e-10,3.26082981093419e-8,2.19
VWA1,von Willebrand factor A domain-containing protein 1,5.55,Up in X1H,8.368,30.640923830244,2.6772667102334197e-11,17,8,4.2814559795814e-9,1.3855976476835101e-10,2.27738368926203e-8,5.55
ITIH1,Inter-alpha-trypsin inhibitor heavy chain H1,5.88,Up in X1H,8.278,29.9311558003672,3.38427524429392e-11,17.49,1,5.269672794865031e-9,5.2444156147824e-11,9.921614296512691e-9,5.88
LUM,Lumican,7.52,Up in X1H,8.185,29.1436500864352,4.4176442893338793e-11,18.43,5,6.5348003149971504e-9,2.01349467092318e-10,3.03847778495694e-8,7.52
SERPINE1,Plasminogen activator inhibitor 1,3.14,Up in X1H,8.185,29.1870280670721,4.35248285455178e-11,18.57,8,6.5348003149971504e-9,2.05406644242484e-10,3.03847778495694e-8,3.14
CLEC11A,C-type lectin domain family 11 member A,6.08,Up in X1H,8.161,28.911635040683,4.784865818464619e-11,17.04,4,6.905378304354921e-9,1.7934485353019201e-10,2.79258815352144e-8,6.08
GLUD1,"Glutamate dehydrogenase 1, mitochondrial",0.94,Up in X1H,8.159,28.829560186655,4.9226914209306e-11,22.69,27,6.9351345565824606e-9,3.6131881449217805e-9,3.34050535210971e-7,0.94
SERPINA7,Thyroxine-binding globulin,5.05,Up in X1H,8.016,27.8316962107752,6.997666148206449e-11,17.03,5,9.62911409277618e-9,2.71393603604871e-10,3.82341893459529e-8,5.05
BHMT,Betaine--homocysteine S-methyltransferase 1;Betaine--homocysteine S-methyltransferase 1;S-methylmethionine--homocysteine S-methyltransferase BHMT2,5.01,Up in X1H,7.956,27.3196530962161,8.42218729692222e-11,16.66,2,1.10742404968642e-8,1.33273263355089e-10,2.2530797122059e-8,5.01
HBA2,"Hemoglobin subunit alpha (Fragment);Hemoglobin subunit alpha (Fragment);HCG1745306, isoform CRA_a",3.22,Up in X1H,7.956,27.3410815976224,8.356565765916589e-11,21.54,7,1.10742404968642e-8,3.43861522441921e-10,4.62415597338374e-8,3.22
CRLF1,Cytokine receptor-like factor 1,1.94,Up in X1H,7.936,27.1364373166298,9.00692729450968e-11,18.35,13,1.15856497394812e-8,6.55671372189344e-10,8.25448406222202e-8,1.94
ITIH2,Inter-alpha-trypsin inhibitor heavy chain H2,0.99,Up in X1H,7.796,26.2151369597993,1.27097605977059e-10,21.43,31,1.60007773311969e-8,5.422154624206e-9,4.58326984448956e-7,0.99
QSOX1,Sulfhydryl oxidase 1,4.93,Up in X1H,7.697,25.5690518859122,1.62969082984497e-10,17.4,9,2.00893346670681e-8,7.64910959196458e-10,9.33760630691324e-8,4.93
TLN1,Talin-1;Talin-1;Talin-2,1.02,Up in X1H,7.592,24.904058173653,2.11854940072464e-10,20.36,11,2.55825649063015e-8,2.0156337950456302e-9,2.05629399401465e-7,1.02
C4BPA,C4b-binding protein alpha chain,6.79,Up in X1H,7.566,24.7069327119776,2.29287351944785e-10,19.74,24,2.71338652291459e-8,1.1026018972762902e-9,1.25463373580457e-7,6.79
LRP1,Prolow-density lipoprotein receptor-related protein 1,1.06,Up in X1H,7.526,24.4275538176835,2.56749245605381e-10,19.83,65,2.97879467891577e-8,7.847066703205931e-9,5.80388671035869e-7,1.06
HELB,DNA helicase B,6.22,Up in X1H,7.476,24.0974753724597,2.93941357726969e-10,17.33,2,3.34471348782784e-8,7.73268056513011e-10,9.33760630691324e-8,6.22
PLOD1,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",1.46,Up in X1H,7.447,23.8484704668938,3.25911673891777e-10,19.95,38,3.5711469896623e-8,3.94741491300475e-9,3.59336216003833e-7,1.46
PLOD2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",1.51,Up in X1H,7.447,23.862077122391,3.24069406343275e-10,19.64,28,3.5711469896623e-8,3.4896188672539104e-9,3.29980120719413e-7,1.51
C1S,Complement C1s subcomponent,4.88,Up in X1H,7.408,23.5879014675089,3.63504180018785e-10,16.72,5,3.91064406031118e-8,1.3307544617536e-9,1.48567436796152e-7,4.88
FAT1,Protocadherin Fat 1,1.51,Up in X1H,7.406,23.5368360400098,3.71415406126846e-10,18.14,45,3.92440171080812e-8,4.203050882841281e-9,3.76809879905634e-7,1.51
FBXO2,F-box only protein 2,1.35,Up in X1H,7.402,23.4709723223746,3.8189953100376803e-10,18.68,15,3.96438513148999e-8,3.51339320691618e-9,3.29980120719413e-7,1.35
OGN,Mimecan,5.56,Up in X1H,7.269,22.7198294338352,5.2745823993454e-10,16.66,4,5.38098345809081e-8,1.8151390483251101e-9,1.91788888373923e-7,5.56
PAH,Phenylalanine-4-hydroxylase,-1.66,Up in X1,7.24,-22.5276699855278,5.73830099551966e-10,18.48,12,5.75483508313387e-8,3.35776401189948e-9,3.25703109154249e-7,-1.66
FABP1,"Fatty acid-binding protein, liver",-1.17,Up in X1,7.226,-22.4179052221118,6.02313323992647e-10,22.78,8,5.93981323010749e-8,1.7521224574646901e-9,1.88496519651246e-7,-1.17
NID1,Nidogen-1;Nidogen-1,4.47,Up in X1H,7.221,22.3548339068662,6.19379208626981e-10,16.6,1,6.00797832368172e-8,8.26112876853623e-10,9.77621978468577e-8,4.47
C9,Complement component C9,7.14,Up in X1H,7.179,22.1021000075732,6.93286525600788e-10,17.94,1,6.61641350319333e-8,1.94398738298566e-9,2.01799532370634e-7,7.14
RNF175,RING finger protein 175,5.84,Up in X1H,7.144,21.8859931844616,7.64193668636323e-10,17.38,1,7.17735545606527e-8,1.7342514390408101e-9,1.88496519651246e-7,5.84
SEMA3B,Semaphorin-3B,1.8,Up in X1H,7.09,21.5665405306576,8.84015506722835e-10,18.36,8,8.13635802328419e-8,3.1722063805218204e-9,3.12832419225793e-7,1.8
SLC2A14,"Solute carrier family 2, facilitated glucose transporter member 3",1.89,Up in X1H,7.09,21.5425742015135,8.93803061540429e-10,22.34,4,8.13635802328419e-8,4.34016226101398e-10,5.58276958661298e-8,1.89
PCMTD1,Protein-L-isoaspartate O-methyltransferase domain-containing protein 1,4.47,Up in X1H,7.048,21.3024412551809,9.987097011068901e-10,16.12,4,8.95358379007495e-8,3.0201328831956903e-9,3.02883496099473e-7,4.47
COCH,Cochlin,4.99,Up in X1H,6.928,20.6784558897573,1.34017232833728e-9,16.31,8,1.18074643506531e-7,5.31816374124593e-9,4.56051809521046e-7,4.99
LAMA5,Laminin subunit alpha-5;Laminin subunit alpha-5;Laminin subunit alpha-3,3.51,Up in X1H,6.928,20.6524478551342,1.3569504408389601e-9,16.11,1,1.18074643506531e-7,1.0067293291791e-9,1.16800341975544e-7,3.51
NPNT,Nephronectin,5.61,Up in X1H,6.926,20.6127664631074,1.3829950457298101e-9,16.54,9,1.18596836022946e-7,5.5718905662121106e-9,4.58645093059046e-7,5.61
PROS1,Vitamin K-dependent protein S,1.27,Up in X1H,6.923,20.5708151124562,1.4111271435856101e-9,17.96,15,1.19280561551372e-7,1.07898430199434e-8,7.45522844338202e-7,1.27
MANBA,Beta-mannosidase,0.89,Up in X1H,6.88,20.333588718314,1.58250023304078e-9,18.59,17,1.31882448998624e-7,2.40155590677113e-8,1.49815669927468e-6,0.89
NOTCH3,Neurogenic locus notch homolog protein 3,2.56,Up in X1H,6.85,20.1665167468544,1.7168614207174302e-9,15.28,2,1.41092625366458e-7,4.23421698794269e-10,5.56752487059042e-8,2.56
COL6A2,Collagen alpha-2(VI) chain,6.3,Up in X1H,6.849,20.1040403621013,1.7702796279153901e-09,16.97,7,1.41550602140207e-7,6.837299251629831e-9,5.46706752322888e-7,6.3
SRPX2,Sushi repeat-containing protein SRPX2,4.49,Up in X1H,6.849,20.1231053755265,1.75378800809902e-9,16.45,3,1.41550602140207e-7,4.380227683602751e-9,3.86832943341455e-7,4.49
F5,Coagulation factor V,5.74,Up in X1H,6.823,19.9555882851042,1.90466800309736e-9,17.53,20,1.50265607657694e-7,7.80930129993579e-9,5.80388671035869e-7,5.74
CYP51A1,Lanosterol 14-alpha demethylase,-1.11,Up in X1,6.767,-19.6684403387115,2.19751204248734e-9,19.46,24,1.71087878360495e-7,2.39469364452313e-8,1.49815669927468e-6,-1.11
PLTP,Phospholipid transfer protein,4.92,Up in X1H,6.743,19.5330320168917,2.3524564547297e-9,16.95,1,1.80772530423839e-7,4.55579531643475e-9,3.96421189519771e-7,4.92
SRXN1,Sulfiredoxin-1,-0.96,Up in X1,6.743,-19.5058784382501,2.3849479017327704e-9,20.04,11,1.80919701725036e-7,1.54298575905484e-8,1.00327986113489e-6,-0.96
COL6A3,Collagen alpha-3(VI) chain,5.19,Up in X1H,6.742,19.4533994843577,2.4491468708888303e-9,16.62,12,1.81145025438115e-7,9.705917135937331e-9,6.91926646907725e-7,5.19
PLA2G2A,"Phospholipase A2, membrane associated",4.49,Up in X1H,6.742,19.4680787974974,2.43100043907855e-9,16.35,4,1.81145025438115e-7,7.291690437361931e-9,5.63221515308908e-7,4.49
TFPI,Tissue factor pathway inhibitor,1.66,Up in X1H,6.731,19.3806129353917,2.5413468227752902e-9,19.94,7,1.85643816671129e-7,6.972181552673441e-9,5.50058643295583e-7,1.66
CCN2,CCN family member 2,2.28,Up in X1H,6.713,19.2737853347325,2.68363322982704e-9,17.92,6,1.93647046596178e-7,7.3293994725005805e-9,5.63221515308908e-7,2.28
OLFML3,Olfactomedin-like protein 3,3.69,Up in X1H,6.709,19.2310716697517,2.7429503173198903e-9,16.34,3,1.95542614790142e-7,5.58094417783527e-9,4.58645093059046e-7,3.69
A1BG,Alpha-1B-glycoprotein,6.24,Up in X1H,6.623,18.8246079432463,3.3852218747096404e-9,17.22,4,2.38456640864964e-7,1.13334436443726e-8,7.70804437284512e-7,6.24
TSKU,Tsukushin,2.91,Up in X1H,6.598,18.6928821012959,3.62743949720605e-9,17.35,4,2.52512464764331e-7,7.65527696899309e-9,5.80388671035869e-7,2.91
TPP2,Tripeptidyl-peptidase 2,-0.78,Up in X1,6.583,-18.6071739345663,3.7952139221012e-9,18.46,36,2.61119543919452e-7,9.32568749435286e-8,4.59834107534049e-6,-0.78
IGSF8,Immunoglobulin superfamily member 8,2.34,Up in X1H,6.568,18.5184719837535,3.97785304984577e-9,16.41,4,2.70539729838361e-7,5.9808949893577204e-9,4.84780214411365e-7,2.34
ACO1,Cytoplasmic aconitate hydratase,1.56,Up in X1H,6.473,18.0890046867266,5.009655848839141e-9,19.12,24,3.36842427927059e-7,2.93739929791428e-8,1.75561531775342e-6,1.56
IGFALS,Insulin-like growth factor-binding protein complex acid labile subunit,3.84,Up in X1H,6.471,18.061743239839,5.0844199670041e-9,16.08,2,3.38028235334419e-7,8.336126554309441e-9,6.08948899035172e-7,3.84
ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,5.04,Up in X1H,6.468,18.0278772887856,5.1790052522764205e-9,16.8,3,3.40490823085773e-7,1.42513708126249e-8,9.47475967396644e-7,5.04
HBB,Hemoglobin subunit beta,1.19,Up in X1H,6.434,17.8670836660111,5.65520319659402e-9,22.97,10,3.67712497958756e-7,2.42741662750715e-8,1.49815669927468e-6,1.19
ECM1,Extracellular matrix protein 1,4.14,Up in X1H,6.376,17.6041955574401,6.5404918309168306e-9,16.09,2,4.20653153951466e-7,1.2342752954216e-8,8.29909877614727e-7,4.14
SERPINC1,Antithrombin-III,2.5,Up in X1H,6.372,17.5697030259308,6.66750838041848e-9,18.01,8,4.24211258999314e-7,2.28437433775054e-8,1.46920032135543e-6,2.5
C5,Complement C5,7.41,Up in X1H,6.302,17.2641351561024,7.91854701716449e-9,18.65,46,4.9844726277194e-7,2.88259890257871e-8,1.74044262311818e-6,7.41
TGFB1,Transforming growth factor beta-1 proprotein,2.1,Up in X1H,6.296,17.2207910985183,8.11595229508286e-9,18.74,4,5.05495681368476e-7,1.08357215840942e-8,7.45522844338202e-7,2.1
GLA,Alpha-galactosidase A,1.16,Up in X1H,6.26,17.0554059192209,8.92025988827173e-9,17.45,6,5.49803934988581e-7,1.03036502883916e-8,7.25794032814439e-7,1.16
ITIH3,Inter-alpha-trypsin inhibitor heavy chain H3,5.51,Up in X1H,6.247,16.985854287754,9.2842636630118e-9,19.23,10,5.6634008344372e-7,3.28832675391528e-8,1.90755190224674e-6,5.51
GSTM3,Glutathione S-transferase Mu 3;Glutathione S-transferase Mu 3,1.46,Up in X1H,6.231,16.9044449028622,9.73114071410123e-9,18.13,15,5.87542444952418e-7,4.75521702181315e-8,2.60524251093226e-6,1.46
CLTC,Clathrin heavy chain 2;Clathrin heavy chain 1,0.44,Up in X1H,6.225,16.864201515134,9.96070962982698e-9,21.88,72,5.95328473532184e-7,1.87201498330018e-6,5.79932599800374e-5,0.44
COL15A1,Collagen alpha-1(XV) chain,3.46,Up in X1H,6.217,16.8156807757723,1.02454210572896e-8,15.79,2,6.06221563959823e-7,1.50819022071421e-8,9.91551281774e-7,3.46
PYGL,"Glycogen phosphorylase, liver form;Glycogen phosphorylase, liver form;Glycogen phosphorylase, brain form",0.85,Up in X1H,6.092,16.3080858550729,1.38226732430475e-8,20.39,8,8.09789679001109e-7,3.22977428293909e-8,1.90755190224674e-6,0.85
RBP4,Retinol-binding protein 4,-0.86,Up in X1,6.081,-16.2502042172748,1.43107578285169e-8,19.8,8,8.3016425560132e-7,3.36229318796751e-8,1.93152318380619e-6,-0.86
COLEC10,Collectin-10,5,Up in X1H,6.066,16.1788666444503,1.49384573370314e-8,16.42,2,8.58163612264223e-7,3.54150412942349e-8,2.01491153209604e-6,5
PCSK6,Proprotein convertase subtilisin/kexin type 6,5.46,Up in X1H,6.062,16.1445666041185,1.52509500844773e-8,17.19,11,8.67691073556274e-7,5.23590249152609e-8,2.79106622003242e-6,5.46
TNXA,Tenascin-X,3.81,Up in X1H,6.051,16.0880718390189,1.57813761518215e-8,15.97,1,8.89318120860266e-7,2.43067505712978e-8,1.49815669927468e-6,3.81
GOT1,"Aspartate aminotransferase, cytoplasmic",-0.94,Up in X1,5.998,-15.8734676885937,1.79884230558032e-8,20.08,23,1.00412735114328e-6,1.51176598207475e-7,7.0993010443939e-6,-0.94
OAF,Out at first protein homolog,4.08,Up in X1H,5.976,15.7736818125794,1.91280176397482e-8,16.21,3,1.05776149882608e-6,4.56848180853463e-8,2.57444827248566e-6,4.08
EXT2,Exostosin-2,1.7,Up in X1H,5.97,15.723206417025,1.9734397081607e-8,17.37,7,1.07126997735659e-6,5.33863214801868e-8,2.82041843034166e-6,1.7
PYGB,"Glycogen phosphorylase, liver form;Glycogen phosphorylase, brain form",0.76,Up in X1H,5.97,15.724873314438,1.97140391462612e-8,20.96,37,1.07126997735659e-6,2.91481704169314e-7,1.23192660254988e-5,0.76
C4BPB,C4b-binding protein beta chain,4.2,Up in X1H,5.947,15.6068060620976,2.12145985918318e-8,16.93,4,1.13087189070152e-6,5.8575896595152e-8,3.04029456275013e-6,4.2
F9,Coagulation factor IX,5.51,Up in X1H,5.947,15.6139384466437,2.11204849626696e-8,16.45,1,1.13087189070152e-6,5.00499617672708e-8,2.69223294342674e-6,5.51
NEK9,Serine/threonine-protein kinase Nek9,0.8,Up in X1H,5.947,15.5923712388774,2.14064784008119e-8,17.23,15,1.13091189908575e-6,1.72297555999007e-7,7.723368476107e-6,0.8
HABP2,Hyaluronan-binding protein 2,3.77,Up in X1H,5.938,15.5453390636367,2.20449749608657e-8,16.36,4,1.15433731719861e-6,5.81211075367994e-8,3.04029456275013e-6,3.77
CLTCL1,Clathrin heavy chain 2;Clathrin heavy chain 2;Clathrin heavy chain 1,0.46,Up in X1H,5.838,15.1664267309185,2.80200706153047e-8,21.67,19,1.45205993041201e-6,1.19416500780593e-6,4.10806648324867e-5,0.46
P4HA2,Prolyl 4-hydroxylase subunit alpha-2,1.12,Up in X1H,5.838,15.1552398232774,2.82215467293191e-8,19.15,23,1.45205993041201e-6,1.67935648842392e-7,7.58530713130102e-6,1.12
KPNA2,Importin subunit alpha-1,-0.49,Up in X1,5.826,-15.0986992159866,2.92644133031532e-8,20.57,19,1.49273735788584e-6,9.350093022273e-7,3.41509261807342e-5,-0.49
SORL1,Sortilin-related receptor,0.78,Up in X1H,5.797,14.9809486008739,3.15743731482485e-8,18.44,53,1.59679970870245e-6,3.92554325971986e-7,1.61609152288687e-5,0.78
GLRX,Glutaredoxin-1,-1.28,Up in X1,5.766,-14.8577540422533,3.42067499657705e-8,19.33,5,1.71526558938529e-6,3.25834580436321e-8,1.90755190224674e-6,-1.28
CPN1,Carboxypeptidase N catalytic chain,4.84,Up in X1H,5.759,14.822416945268,3.50054961165916e-8,16.67,4,1.74056739934347e-6,9.90259348499204e-8,4.84245005377669e-6,4.84
LAMA3,Laminin subunit alpha-5;Laminin subunit alpha-3,2.62,Up in X1H,5.717,14.6616534149126,3.89063710036087e-8,15.49,1,1.91840831023627e-6,2.81065955110536e-8,1.71450232617427e-6,2.62
SQLE,Squalene monooxygenase,-0.89,Up in X1,5.707,-14.61463708247,4.01353691900322e-8,19.05,12,1.96265272311918e-6,1.9738189319983e-7,8.65117527454367e-6,-0.89
SERPINF1,Pigment epithelium-derived factor,3.95,Up in X1H,5.702,14.585472047189,4.09190598806647e-8,19.42,16,1.98457440421224e-6,1.34399853205697e-7,6.41325751143635e-6,3.95
GSTP1,Glutathione S-transferase P,4.03,Up in X1H,5.695,14.5491152264721,4.19195464770439e-8,15.5,2,2.01656875207048e-6,8.43582071541345e-8,4.26621804898302e-6,4.03
HBE1,Hemoglobin subunit epsilon,4.47,Up in X1H,5.695,14.5247366994153,4.26053934452322e-8,16.81,1,2.01676890412351e-6,8.61887711971486e-8,4.31710772397625e-6,4.47
LSS,Lanosterol synthase,-0.49,Up in X1,5.695,-14.53309287321,4.23689333621755e-8,19.31,31,2.01676890412351e-6,1.65236291451209e-6,5.20054859849362e-5,-0.49
MYO18A,Unconventional myosin-XVIIIa,0.56,Up in X1H,5.679,14.4561080581433,4.46029896204866e-8,18.04,31,2.0945705522573e-6,1.08867590005982e-6,3.83434244086544e-5,0.56
SERPIND1,Heparin cofactor 2,1.31,Up in X1H,5.664,14.3915376625033,4.65763851398725e-8,18.46,10,2.17001945568997e-6,1.59450088058817e-7,7.37082946128142e-6,1.31
APOC3,Apolipoprotein C-III,2.15,Up in X1H,5.644,14.3031010497707,4.9435923717506e-8,18.16,4,2.26753767935258e-6,8.33971943228448e-8,4.25397585179545e-6,2.15
MASP1,Mannan-binding lectin serine protease 1,3.67,Up in X1H,5.644,14.3080432206617,4.92711503949887e-8,16.2,3,2.26753767935258e-6,1.09601582378008e-7,5.31567674533339e-6,3.67
FMOD,Fibromodulin,5.48,Up in X1H,5.641,14.2787120040174,5.02579426862436e-8,16.67,2,2.28750959134234e-6,1.24763866813336e-7,6.00185203198789e-6,5.48
ANGPTL8,Angiopoietin-like protein 8,4.86,Up in X1H,5.637,14.2554663458653,5.10553673488693e-8,18.97,5,2.3060657145287e-6,1.48646347309897e-7,7.03632349626131e-6,4.86
DNAH8,"Dynein heavy chain 8, axonemal",2.72,Up in X1H,5.611,14.154141381956,5.469670022932e-8,15.59,1,2.45182102467338e-6,4.88678399032255e-8,2.65276154777418e-6,2.72
POSTN,Periostin,3.43,Up in X1H,5.576,14.0285038657222,5.96118311832343e-8,15.9,5,2.6520541737684e-6,1.60966699508737e-7,7.38325551157517e-6,3.43
COL2A1,Collagen alpha-1(II) chain,4.93,Up in X1H,5.531,13.8554557974001,6.71905675105997e-8,16.01,5,2.94493768859421e-6,1.92948232432025e-7,8.519960382838e-6,4.93
GLB1,Beta-galactosidase,0.6,Up in X1H,5.531,13.8603567406133,6.69619642590775e-8,20.35,20,2.94493768859421e-6,8.99353530555242e-7,3.3259217751846e-5,0.6
PGM1,Phosphoglucomutase-1,0.72,Up in X1H,5.52,13.8092136877454,6.93900599915054e-8,19.25,28,3.01897783065984e-6,7.02274317652309e-7,2.73378759049257e-5,0.72
SLC9A3R1,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,-0.78,Up in X1,5.511,-13.7682443906115,7.14046823316422e-8,21.33,22,3.0839525938418e-6,5.71676422493252e-7,2.27020764556549e-5,-0.78
CD81,CD81 antigen,4.56,Up in X1H,5.496,13.7074270332925,7.45143180067315e-8,16.27,4,3.19493637424515e-6,2.00796496123322e-7,8.73612402618893e-6,4.56
ENOPH1,Enolase-phosphatase E1,-0.87,Up in X1,5.491,-13.6809459557959,7.59143645742268e-8,18.33,8,3.23154888622806e-6,1.78987072710205e-7,7.96290608440813e-6,-0.87
