"Genes","ProtDesc","logFC","Diff_Abund","negLog10_sca_adjPval","sca.t","sca.P.Value","AveExpr","count","sca.adj.pval","P.Value","adj.P.Val"
"SERPINE1","Plasminogen activator inhibitor 1",-2.26,"Up in X1H",8.336,-29.4994991113995,3.27391669258656e-11,19.01,8,4.61232501667492e-09,1.7827188517727e-10,4.21933897837563e-08
"VTN","Vitronectin",-1.88,"Up in X1H",8.336,-29.541998267074,3.22669603163916e-11,23.91,13,4.61232501667492e-09,3.19645736487572e-10,5.56277594940283e-08
"SPATA20","Spermatogenesis-associated protein 20",0.98,"Up in X3H",8.303,29.212389807473,3.61349402836364e-11,18.17,18,4.97233585251806e-09,1.54145065284303e-09,1.40543234504855e-07
"MCM5","DNA replication licensing factor MCM5",-1.03,"Up in X1H",8.295,-29.0882008586301,3.77219489297486e-11,19.54,14,5.07274481403005e-09,9.24252680550778e-10,1.13795440060112e-07
"BDH1","D-beta-hydroxybutyrate dehydrogenase, mitochondrial",2.48,"Up in X3H",8.276,28.8980935929144,4.0301442837836e-11,18.58,12,5.29919193936613e-09,3.17170875655655e-10,5.56277594940283e-08
"CLU","Clusterin",-1.76,"Up in X1H",8.249,-28.6607756049478,4.37966975558683e-11,23.27,19,5.63358824865375e-09,5.62172058625806e-10,8.31593017722224e-08
"NUP210","Nuclear pore membrane glycoprotein 210",0.69,"Up in X3H",8.239,28.5336318625513,4.58050779141736e-11,19.87,44,5.76656693655671e-09,1.53518951852277e-08,5.43935112640671e-07
"TIMP1","Metalloproteinase inhibitor 1",-3.84,"Up in X1H",8.239,-28.4738374536939,4.67843467031717e-11,16.83,4,5.76714540505557e-09,1.43329153139715e-10,4.05752178982686e-08
"NPNT","Nephronectin",-1.49,"Up in X1H",8.235,-28.3904533943046,4.8188499463122e-11,18.6,9,5.81900716986312e-09,2.81182839642377e-10,5.46146784848068e-08
"DDX21","ATP-dependent RNA helicase DDX50;Nucleolar RNA helicase 2",-1.31,"Up in X1H",8.229,-28.2927236315989,4.98933609310698e-11,21.05,36,5.9043803325828e-09,1.30847114483228e-09,1.36511063929278e-07
"APOE","Apolipoprotein E",-1.77,"Up in X1H",8.223,-28.2008319704713,5.15568855020216e-11,24.53,28,5.98160963755807e-09,7.21568826466046e-10,9.94626539566084e-08
"C5","Complement C5",-1.84,"Up in X1H",8.147,-27.6639652512699,6.25780585209867e-11,21.43,46,7.12066100516689e-09,8.5349319605207e-10,1.07449345554045e-07
"HEATR1","HEAT repeat-containing protein 1",-0.77,"Up in X1H",8.143,-27.575771889379,6.46242623666755e-11,19.8,43,7.20198507076088e-09,1.01767399998006e-08,4.15281176405657e-07
"MDC1","Mediator of DNA damage checkpoint protein 1",-1.2,"Up in X1H",8.143,-27.5295002733939,6.57270903872042e-11,17.59,21,7.20198507076088e-09,1.56623146806981e-09,1.40543234504855e-07
"ANXA4","Annexin A4",1.72,"Up in X3H",8.125,27.3702812641154,6.96825114906689e-11,21.82,34,7.49657128164159e-09,9.80829380271372e-10,1.13795440060112e-07
"TKFC","Triokinase/FMN cyclase",1.23,"Up in X3H",8.092,27.1151546881199,7.65759768703099e-11,21.84,33,8.09107241324328e-09,1.98215771107377e-09,1.59959643885545e-07
"LRP1","Prolow-density lipoprotein receptor-related protein 1",-0.98,"Up in X1H",8.072,-26.8511337232023,8.45059263767726e-11,19.87,65,8.47494180290447e-09,4.77402467509084e-09,2.66489660401061e-07
"NDRG1","Protein NDRG1",1.44,"Up in X3H",8.072,26.8832515303951,8.3494794702253e-11,19.24,7,8.47494180290447e-09,1.99637288445931e-10,4.54328398359452e-08
"SERPINF2","Alpha-2-antiplasmin",-1.92,"Up in X1H",8.072,-26.9325567898883,8.19682931685234e-11,18.98,5,8.47494180290447e-09,8.35065120071819e-11,2.74055028266324e-08
"GALM","Galactose mutarotase",1.65,"Up in X3H",8.058,26.7230583985564,8.86736443699073e-11,20.13,17,8.74469922894569e-09,1.00721855235774e-09,1.14609849505784e-07
"SERPINA5","Plasma serine protease inhibitor",-2.45,"Up in X1H",7.944,-25.9895482907722,1.17340416443186e-10,17.99,6,1.13820203949891e-08,4.17018532584968e-10,6.85416293695904e-08
"FAT1","Protocadherin Fat 1",-1.37,"Up in X1H",7.93,-25.8685528819391,1.22980217584012e-10,18.21,45,1.1736676571687e-08,2.32449218721315e-09,1.74101522427091e-07
"APOA1","Apolipoprotein A-I",-1.14,"Up in X1H",7.899,-25.5850752085665,1.37393588146397e-10,22.09,20,1.26132178703393e-08,2.78904974274499e-09,1.87531901452524e-07
"ASPH","Aspartyl/asparaginyl beta-hydroxylase",0.67,"Up in X3H",7.899,25.5635772625152,1.38559939424042e-10,21.11,32,1.26132178703393e-08,2.30723621035068e-08,7.00098290084357e-07
"PLG","Plasminogen",-2.73,"Up in X1H",7.899,-25.6159719083113,1.35736129714017e-10,20.27,22,1.26132178703393e-08,1.04819984219971e-09,1.17022612571617e-07
"COMP","Thrombospondin-4;Cartilage oligomeric matrix protein",-2.12,"Up in X1H",7.895,-25.4622364978043,1.44206296132414e-10,20.25,11,1.27399414092894e-08,9.75598011809921e-10,1.13795440060112e-07
"RNASET2","Ribonuclease T2",1.29,"Up in X3H",7.895,25.4613243228495,1.44258251550175e-10,20.13,12,1.27399414092894e-08,1.38963932560463e-09,1.40543234504855e-07
"TST","Thiosulfate sulfurtransferase",1.03,"Up in X3H",7.853,25.1803933273539,1.61280705782751e-10,20.65,19,1.40337931781843e-08,3.80572900072304e-09,2.24574384856032e-07
"PSAP","Prosaposin",-0.8,"Up in X1H",7.845,-25.0959881167664,1.66816580208734e-10,22.58,20,1.43051261607982e-08,8.42545414365822e-09,3.7397046067619e-07
"DDX24","ATP-dependent RNA helicase DDX24",-1.19,"Up in X1H",7.808,-24.852726708318,1.83971398384683e-10,18.41,15,1.55508394891739e-08,2.496062728487e-09,1.75823847195923e-07
"PBXIP1","Pre-B-cell leukemia transcription factor-interacting protein 1",1.38,"Up in X3H",7.799,24.7670819556226,1.90464172779872e-10,18.81,19,1.5872908596317e-08,2.45844008903343e-09,1.75823847195923e-07
"CES2","Cocaine esterase",0.83,"Up in X3H",7.782,24.6339317459475,2.01062949394243e-10,20.11,20,1.65234648828574e-08,8.17793670743341e-09,3.71282129631573e-07
"GSN","Gelsolin",-1.32,"Up in X1H",7.751,-24.424271784081,2.19086687816194e-10,21.75,26,1.7758026463129e-08,3.3639173497379e-09,2.11747861259566e-07
"RELN","Reelin",-2.34,"Up in X1H",7.748,-24.3782190406345,2.23278609177178e-10,18.75,31,1.78532368986671e-08,1.82728465330849e-09,1.56696279617773e-07
"ACSS2","Acetyl-coenzyme A synthetase, cytoplasmic",1.31,"Up in X3H",7.711,24.1388048898968,2.46537214071098e-10,19,17,1.94501426087825e-08,3.00837040390305e-09,1.97783640887715e-07
"FRAS1","Extracellular matrix protein FRAS1",-1.74,"Up in X1H",7.684,-23.9124746066041,2.70986585418883e-10,18.45,27,2.06842329389536e-08,2.72593938322234e-09,1.87531901452524e-07
"FTL","Ferritin light chain",-5.77,"Up in X1H",7.684,-23.935633662649,2.68366670037647e-10,19.91,12,2.06842329389536e-08,1.5542261167268e-09,1.40543234504855e-07
"PCSK6","Proprotein convertase subtilisin/kexin type 6",-1.38,"Up in X1H",7.684,-23.8977499330517,2.72666920608143e-10,19.24,11,2.06842329389536e-08,2.00050932018427e-09,1.59959643885545e-07
"DAB2","Disabled homolog 2",1.78,"Up in X3H",7.647,23.573852587591,3.12676396908343e-10,18.37,13,2.25622712256911e-08,2.3044457862915e-09,1.74101522427091e-07
"METTL7A","Methyltransferase-like protein 7A",1.08,"Up in X3H",7.647,23.5981193629224,3.0946588773851e-10,20.36,9,2.25622712256911e-08,1.49966307311641e-09,1.40543234504855e-07
"NOP2","Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase",-0.68,"Up in X1H",7.647,-23.6297249690405,3.05338517382161e-10,20.86,23,2.25622712256911e-08,2.47904303971965e-08,7.4459379015336e-07
"SERPINA7","Thyroxine-binding globulin",-1.84,"Up in X1H",7.647,-23.5889189565809,3.10678833404373e-10,18.63,5,2.25622712256911e-08,3.99967462444387e-10,6.76173564366696e-08
"CCN2","CCN family member 2",-1.74,"Up in X1H",7.635,-23.4801726064271,3.25417331168846e-10,18.19,6,2.31987270906754e-08,7.38967065991928e-10,9.94626539566084e-08
"H6PD","GDH/6PGL endoplasmic bifunctional protein",1.46,"Up in X3H",7.631,23.4352714342361,3.31725007958298e-10,18.5,25,2.3366867524872e-08,3.87131777172812e-09,2.24574384856032e-07
"P4HA1","Prolyl 4-hydroxylase subunit alpha-1",0.84,"Up in X3H",7.63,23.4017165065075,3.36526285395044e-10,21.5,39,2.34261885962644e-08,1.63673030049981e-08,5.67033491008553e-07
"ITIH3","Inter-alpha-trypsin inhibitor heavy chain H3",-1.85,"Up in X1H",7.588,-23.1478494407103,3.75419702906441e-10,21.06,10,2.58297486290397e-08,2.19190242358895e-09,1.72083212551888e-07
"CDH1","Cadherin-1",1.15,"Up in X3H",7.544,22.8914078708813,4.19768971194755e-10,19.84,20,2.85491149719468e-08,6.15946683712478e-09,3.03713043960561e-07
"SLC1A5","Neutral amino acid transporter B(0)",-0.92,"Up in X1H",7.532,-22.8022932883524,4.3650055015993e-10,21,10,2.93497017647307e-08,2.97062620665662e-09,1.97496576008845e-07
"TPI1","Triosephosphate isomerase",1.06,"Up in X3H",7.502,22.6203506580711,4.72977698753486e-10,23.42,33,3.14450454328582e-08,9.82830081857349e-09,4.07159868375485e-07
"PCYT2","Ethanolamine-phosphate cytidylyltransferase",1.01,"Up in X3H",7.436,22.2546534713139,5.56832571509288e-10,20.05,20,3.66086480624495e-08,9.76616120423502e-09,4.07159868375485e-07
"AFMID","Kynurenine formamidase",2.94,"Up in X3H",7.407,22.0705656645122,6.05107374844328e-10,15.78,6,3.92094045782577e-08,2.47333633808689e-09,1.75823847195923e-07
"LGALS1","Galectin-1",1.24,"Up in X3H",7.407,22.0507587066901,6.10568973327159e-10,20.51,10,3.92094045782577e-08,3.6286746782344e-09,2.2365487574076e-07
"MMP14","Matrix metalloproteinase-14",-2.33,"Up in X1H",7.407,-22.0302865072798,6.16270851069455e-10,16.85,5,3.92094045782577e-08,1.55886649480499e-09,1.40543234504855e-07
"PECR","Peroxisomal trans-2-enoyl-CoA reductase",0.68,"Up in X3H",7.406,22.0038040837337,6.23733443626334e-10,20.94,22,3.92620296376279e-08,3.5169645326449e-08,9.58980605514281e-07
"NOLC1","Nucleolar and coiled-body phosphoprotein 1",-1.1,"Up in X1H",7.399,-21.9445259920123,6.40799247583202e-10,20.58,12,3.99116752415769e-08,5.47112359371784e-09,2.85234703911931e-07
"EXOSC10","Exosome component 10",-0.66,"Up in X1H",7.391,-21.8603276653809,6.65925589267556e-10,19.26,22,4.06214609453209e-08,3.93821329585666e-08,1.03108000316743e-06
"POLRMT","DNA-directed RNA polymerase, mitochondrial",-1.32,"Up in X1H",7.391,-21.8685744256104,6.63417520229273e-10,18.32,23,4.06214609453209e-08,7.46984823573442e-09,3.56444290410004e-07
"FERMT3","Fermitin family homolog 3",-2.17,"Up in X1H",7.362,-21.6680134627573,7.2746352157996e-10,17.65,5,4.34788046180669e-08,1.66163876625597e-09,1.4480184527839e-07
"PES1","Pescadillo homolog",-0.7,"Up in X1H",7.362,-21.6766697966109,7.24563426207327e-10,19.63,15,4.34788046180669e-08,2.02387982545596e-08,6.43833168130266e-07
"C1S","Complement C1s subcomponent",-2.81,"Up in X1H",7.356,-21.6176996379186,7.44573881919533e-10,17.75,5,4.40564365931788e-08,2.42052166953855e-09,1.75823847195923e-07
"NIT1","Deaminated glutathione amidase",1.53,"Up in X3H",7.334,21.4879839584818,7.90756203518131e-10,17.13,9,4.63257866952157e-08,3.8636225901602e-09,2.24574384856032e-07
"HMOX1","Heme oxygenase 1",-0.99,"Up in X1H",7.326,-21.4267162453623,8.13653341715241e-10,20.9,8,4.71998708130302e-08,2.29960926210521e-09,1.74101522427091e-07
"GNL3","Guanine nucleotide-binding protein-like 3",-0.64,"Up in X1H",7.32,-21.3419383886615,8.46543864364915e-10,20.51,22,4.78826642434736e-08,5.17962901264223e-08,1.25093325991037e-06
"GPI","Glucose-6-phosphate isomerase",1.08,"Up in X3H",7.32,21.3065390098186,8.60706398384453e-10,20.93,22,4.78826642434736e-08,1.23208656792102e-08,4.7033911112185e-07
"NOTUM","Palmitoleoyl-protein carboxylesterase NOTUM",-1.43,"Up in X1H",7.32,-21.3006974352561,8.6306835232842e-10,19.87,10,4.78826642434736e-08,4.81926937844163e-09,2.66501092637749e-07
"SLC3A2","4F2 cell-surface antigen heavy chain",-0.82,"Up in X1H",7.32,-21.2937527097754,8.65885596425836e-10,21.24,28,4.78826642434736e-08,2.61968878153513e-08,7.66141999272704e-07
"UHRF1","E3 ubiquitin-protein ligase UHRF2;E3 ubiquitin-protein ligase UHRF1",-2.12,"Up in X1H",7.32,-21.3531569030039,8.42109030390099e-10,17.39,15,4.78826642434736e-08,5.34166045938088e-09,2.85234703911931e-07
"RCN1","Reticulocalbin-1",0.65,"Up in X3H",7.313,21.2261286386697,8.93851538644906e-10,19,15,4.85870774307076e-08,2.74736341045174e-08,7.92982892665509e-07
"SHTN1","Shootin-1",1.25,"Up in X3H",7.313,21.2232904555432,8.95046719612493e-10,17.48,14,4.85870774307076e-08,7.67033390274418e-09,3.57469458957031e-07
"PKP3","Plakophilin-3",0.69,"Up in X3H",7.297,21.1040521809066,9.46876710010189e-10,18.13,23,5.04744999381107e-08,4.20641208084197e-08,1.07159087183958e-06
"RETSAT","All-trans-retinol 13,14-reductase",0.55,"Up in X3H",7.297,21.1077190001727,9.4523467497412e-10,20.11,29,5.04744999381107e-08,1.23676641655229e-07,2.22749978543614e-06
"PRDX6","Peroxiredoxin-6",1.13,"Up in X3H",7.282,20.9888127301225,1.000109316118e-09,22.93,20,5.22063362663664e-08,1.21973691897959e-08,4.7033911112185e-07
"SLC13A5","Solute carrier family 13 member 5",1.52,"Up in X3H",7.282,20.9886752659062,1.00017474131415e-09,18.75,8,5.22063362663664e-08,4.02789697613814e-09,2.30659996665452e-07
"SOD2","Superoxide dismutase [Mn], mitochondrial",1.03,"Up in X3H",7.282,20.97682090095,1.00583443203748e-09,22.12,18,5.22063362663664e-08,1.33581526770902e-08,4.94001183689642e-07
"TBC1D13","TBC1 domain family member 13",1.51,"Up in X3H",7.281,20.9512433530981,1.01816599884967e-09,16.92,10,5.23868540451608e-08,5.54920279267863e-09,2.85518547167648e-07
"VCL","Vinculin",1.1,"Up in X3H",7.272,20.8900105568712,1.04836637500712e-09,19.43,40,5.34757227665271e-08,1.63871433095255e-08,5.67033491008553e-07
"KIF22","Kinesin-like protein KIF22",-1.94,"Up in X1H",7.271,-20.8693060448506,1.05879897313756e-09,16.53,6,5.35462694363673e-08,3.09545711047869e-09,2.01272744205521e-07
"MTARC2","Mitochondrial amidoxime reducing component 2",1.67,"Up in X3H",7.27,20.8438545092779,1.07177969216976e-09,16.92,7,5.37433935471905e-08,3.62398414065937e-09,2.2365487574076e-07
"SQSTM1","Sequestosome-1",-1.85,"Up in X1H",7.256,-20.7617256674367,1.11487064643779e-09,19.14,10,5.54343665123729e-08,5.88718232119983e-09,2.95207269445249e-07
"SIRT2","NAD-dependent protein deacetylase sirtuin-2",1.7,"Up in X3H",7.255,20.7385382636592,1.12737762158608e-09,15.46,6,5.55891115577069e-08,2.76378100531519e-09,1.87531901452524e-07
"QSOX1","Sulfhydryl oxidase 1",-1.55,"Up in X1H",7.249,-20.6913550355576,1.15330512095018e-09,19.09,9,5.63975735591921e-08,5.49548018353222e-09,2.85234703911931e-07
"ACY1","Aminoacylase-1",1.5,"Up in X3H",7.24,20.6181495201609,1.1948348816108e-09,20.32,20,5.74783576787893e-08,9.84009822168232e-09,4.07159868375485e-07
"IGSF1","Immunoglobulin superfamily member 1",1.67,"Up in X3H",7.24,20.619889905553,1.19382874570286e-09,17.98,24,5.74783576787893e-08,9.32996049863893e-09,3.97160980362925e-07
"DCAF13","DDB1- and CUL4-associated factor 13",-0.82,"Up in X1H",7.232,-20.5591437517346,1.2295027512164e-09,18.46,10,5.86690949915117e-08,7.71688416716514e-09,3.57469458957031e-07
"EHHADH","Peroxisomal bifunctional enzyme",0.49,"Up in X3H",7.221,20.4948135887808,1.26855969596455e-09,19.78,37,6.00485417681782e-08,2.96844476694602e-07,4.20198270000469e-06
"APEH","Acylamino-acid-releasing enzyme",1.12,"Up in X3H",7.184,20.3025715262425,1.3936105824191e-09,19.64,19,6.54443953664587e-08,1.53220728126199e-08,5.43935112640671e-07
"ADI1","1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",1.59,"Up in X3H",7.184,20.2837368627471,1.40657084501578e-09,19.9,10,6.55329109445542e-08,7.38474392411233e-09,3.55248209747745e-07
"NPEPPS","Puromycin-sensitive aminopeptidase",0.62,"Up in X3H",7.183,20.2635574985057,1.4206031321721e-09,20.52,41,6.56695994770493e-08,1.07353437864261e-07,2.02942585253301e-06
"ANGPTL8","Angiopoietin-like protein 8",-1.31,"Up in X1H",7.177,-20.2030844368698,1.46358164750473e-09,20.75,5,6.65301679262349e-08,7.39624264676487e-10,9.94626539566084e-08
"DECR2","Peroxisomal 2,4-dienoyl-CoA reductase",0.92,"Up in X3H",7.177,20.2044914655977,1.462565624794e-09,19.43,10,6.65301679262349e-08,8.57755834205777e-09,3.75951205258932e-07
"SORL1","Sortilin-related receptor",0.78,"Up in X3H",7.177,20.1839256815753,1.47749352357786e-09,19.22,53,6.65301679262349e-08,5.29718768025326e-08,1.26384917355075e-06
"TGFB1","Transforming growth factor beta-1 proprotein",-3.05,"Up in X1H",7.177,-20.1747670789824,1.48419505936505e-09,18.27,4,6.65301679262349e-08,4.05418956451022e-09,2.30659996665452e-07
"C","Capsid protein",-2.26,"Up in X1H",7.157,-20.0378870298545,1.58842534468341e-09,21.82,4,6.96767384342201e-08,2.5359449630252e-09,1.76531604073178e-07
"DNMT1","DNA (cytosine-5)-methyltransferase 1",-1.48,"Up in X1H",7.157,-20.0570684896604,1.57334766468815e-09,17.87,19,6.96767384342201e-08,1.22495356888137e-08,4.7033911112185e-07
"DSP","Desmoplakin",0.71,"Up in X3H",7.157,20.0362522056487,1.58971770975489e-09,21.73,154,6.96767384342201e-08,8.05578042179047e-08,1.67838213928642e-06
"WDR46","WD repeat-containing protein 46",-0.87,"Up in X1H",7.157,-20.0211244986118,1.60173130953122e-09,18.8,15,6.96870894007076e-08,2.10345975132989e-08,6.55061649927312e-07
"MAN1A1","Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",-1.12,"Up in X1H",7.143,-19.9427194197718,1.66561165208258e-09,21.97,21,7.1937402520968e-08,1.84850662312005e-08,5.97683808142148e-07
"NOTCH3","Neurogenic locus notch homolog protein 3",-3.06,"Up in X1H",7.133,-19.8817372292046,1.71722737067677e-09,15.03,2,7.36292344369165e-08,1.53933558098782e-09,1.40543234504855e-07
"NID1","Nidogen-1;Nidogen-1",-3.47,"Up in X1H",7.127,-19.8389760999537,1.75446530337204e-09,17.1,1,7.46846848924631e-08,1.66410773684815e-09,1.4480184527839e-07
"ABHD14B","Protein ABHD14B",1.65,"Up in X3H",7.124,19.8135790107235,1.77700022439574e-09,18.82,9,7.51036451982114e-08,8.25817658459651e-09,3.71282129631573e-07
"ASS1","Argininosuccinate synthase",-1.01,"Up in X1H",7.124,-19.7833430384235,1.80424315828752e-09,19.28,8,7.51810335745581e-08,5.39087528403608e-09,2.85234703911931e-07
"EPRS1","Bifunctional glutamate/proline--tRNA ligase",0.34,"Non-significant",7.124,19.794232234443,1.79437950441172e-09,20.99,64,7.51810335745581e-08,3.01449382606643e-06,2.48422840791575e-05
"LGALS2","Galectin-2",2.23,"Up in X3H",7.123,19.7670072629435,1.81915202860173e-09,18.14,10,7.52721856869681e-08,9.06699044990814e-09,3.91601332059171e-07
