Genes,ProtDesc,X3_vs_X3H,Diff_Abund,negLog10_sca_adjPval,sca.t,sca.P.Value,AveExpr,count,sca.adj.pval,P.Value,adj.P.Val,logFC
C3,Complement C3,1.65,Up in X3H,8.767,36.8291575598874,3.4712253948337996e-12,21.34,101,1.71160338843596e-9,1.02268165132073e-10,4.65477486989599e-8,1.65
NOTUM,Palmitoleoyl-protein carboxylesterase NOTUM,2.43,Up in X3H,8.461,34.0822586772923,7.60862314315247e-12,17.93,10,3.46309408754101e-9,6.381657705198869e-11,3.14668905347181e-8,2.43
EMILIN1,EMILIN-1,2.72,Up in X3H,8.133,31.3994199665083,1.74318377253304e-11,17.9,29,7.3674417014842806e-9,1.73624539818709e-10,6.42085251317065e-8,2.72
C,Capsid protein,6,Up in X3H,8.08,30.8119336152967,2.10964287183046e-11,17.69,4,8.321837915080571e-9,1.12784052454857e-10,4.76673741696706e-8,6
APOA4,Apolipoprotein A-IV,-0.94,Up in X3,7.976,-29.8966156560043,2.8605801688049297e-11,20.03,33,1.05787830367617e-8,1.7032966142923501e-9,3.87631002567993e-7,-0.94
GSN,Gelsolin,1.67,Up in X3H,7.944,29.5048621529319,3.2679162543594294e-11,20.26,26,1.13742708688498e-8,4.6183766186456803e-10,1.51816302514036e-7,1.67
TGM2,Protein-glutamine gamma-glutamyltransferase 2,2.13,Up in X3H,7.943,29.3280205273057,3.4722949439493597e-11,18.9,25,1.14142051018602e-8,3.66128029571535e-10,1.2743409123381e-7,2.13
APOE,Apolipoprotein E,2.17,Up in X3H,7.729,27.7808408914032,5.99750930864723e-11,22.57,28,1.86775066206661e-8,5.79400736547074e-10,1.80437587271002e-7,2.17
CEMIP,Cell migration-inducing and hyaluronan-binding protein,3.4,Up in X3H,7.548,26.5215696454529,9.56939682474771e-11,18.17,41,2.83110605060161e-8,6.97169374557861e-10,2.06257559462943e-7,3.4
ITIH1,Inter-alpha-trypsin inhibitor heavy chain H1,4.86,Up in X3H,7.529,26.2800610195162,1.04923075492146e-10,16.23,1,2.95633256041443e-8,1.50861871444775e-10,5.95099795559157e-8,4.86
TGFBI,Transforming growth factor-beta-induced protein ig-h3,5.38,Up in X3H,7.495,25.9541882781265,1.18958696427407e-10,16.82,24,3.19944821254986e-8,7.59937074195728e-10,2.14121317524577e-7,5.38
SERPINF1,Pigment epithelium-derived factor,1.65,Up in X3H,7.494,25.835988523792,1.24548403492478e-10,19.11,16,3.20414305854343e-8,1.1709210793780402e-9,3.14924546667266e-7,1.65
NPNT,Nephronectin,3.93,Up in X3H,7.243,24.2874876446452,2.3179707930676501e-10,15.89,9,5.71476382607554e-8,1.32506988310315e-9,3.26684937430057e-7,3.93
C9,Complement component C9,5.72,Up in X3H,6.945,22.5011538244896,4.98680974987083e-10,16.81,1,1.1348828188456e-7,1.3192721002721902e-9,3.26684937430057e-7,5.72
COL6A1,Collagen alpha-1(VI) chain,2.52,Up in X3H,6.945,22.5672720873603,4.84239484193067e-10,17.89,11,1.1348828188456e-7,2.79839149694765e-9,5.91360088837115e-7,2.52
PLG,Plasminogen,4.68,Up in X3H,6.805,21.7071996602723,7.14435854058278e-10,16.56,22,1.56567294387512e-7,3.9149362861295305e-9,7.98782000173395e-7,4.68
CRLF1,Cytokine receptor-like factor 1,1.56,Up in X3H,6.714,21.1775016776496,9.145727897955791e-10,18.37,13,1.93268828472159e-7,6.02666034815925e-9,1.15031449290511e-6,1.56
HBB,Hemoglobin subunit beta,0.78,Up in X3H,6.708,21.0768107393461,9.59174014905878e-10,22.53,10,1.9570457400683e-7,7.096557313774751e-9,1.31219780080016e-6,0.78
BHMT,Betaine--homocysteine S-methyltransferase 1;Betaine--homocysteine S-methyltransferase 1;S-methylmethionine--homocysteine S-methyltransferase BHMT2,3.46,Up in X3H,6.563,20.3144613132957,1.38549654717817e-9,15.85,2,2.73266102321774e-7,2.2339859108597503e-9,4.89573875353968e-7,3.46
PLTP,Phospholipid transfer protein,3.3,Up in X3H,6.443,19.6911668577755,1.89015867454719e-9,16.04,1,3.60776415396636e-7,1.4698255356184502e-9,3.47878307770175e-7,3.3
ACSM2A,"Acyl-coenzyme A synthetase ACSM2A, mitochondrial;Acyl-coenzyme A synthetase ACSM2A, mitochondrial;Acyl-coenzyme A synthetase ACSM2B, mitochondrial",-1.09,Up in X3,6.442,-19.5942302840449,1.9853738986576502e-9,18.39,13,3.6132586763035e-7,1.47338524047681e-8,2.56412366702979e-6,-1.09
C8B,Complement component C8 beta chain,3.09,Up in X3H,6.442,19.5649398920442,2.0151687733313403e-9,15.9,3,3.6132586763035e-7,4.6212339350417305e-9,9.11461373121397e-7,3.09
F13A1,Coagulation factor XIII A chain,4.63,Up in X3H,6.437,19.4835967739446,2.10051347312073e-9,17.09,4,3.6555112413104e-7,8.431403271825291e-9,1.51177615634516e-6,4.63
FRAS1,Extracellular matrix protein FRAS1,1.87,Up in X3H,6.255,18.6258518782209,3.2866788842021e-9,16.64,27,5.55636541652109e-7,1.93979101250883e-8,3.27935526314707e-6,1.87
MAN1A1,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",1.19,Up in X3H,6.165,18.1893093330024,4.15907276428925e-9,20.81,21,6.83589820730542e-7,3.11601020884241e-8,4.98308983938392e-6,1.19
LUM,Lumican,6.4,Up in X3H,6.113,17.9223546492017,4.81578647949393e-9,17.32,5,7.70135367545015e-7,2.05541104090469e-8,3.37829642473141e-6,6.4
THBS4,Thrombospondin-4;Thrombospondin-4;Cartilage oligomeric matrix protein,3.95,Up in X3H,5.72,16.3084017102612,1.22387534223935e-8,16.13,3,1.90570273685006e-6,3.7582148246727e-8,5.85193608357589e-6,3.95
LGALS3BP,Galectin-3-binding protein,0.61,Up in X3H,5.669,16.0733948075252,1.41196491954227e-8,21.92,24,2.14220421254657e-6,2.45053305735546e-7,2.89996082007446e-5,0.61
C5,Complement C5,4.77,Up in X3H,5.559,15.625355288778,1.86451989286167e-8,18.13,46,2.75809105151563e-6,7.66588905960584e-8,1.10631867233385e-5,4.77
IGSF1,Immunoglobulin superfamily member 1,-0.67,Up in X3,5.517,-15.4331488480411,2.10548423536529e-8,19.15,24,3.03857322455034e-6,2.58335853850782e-7,2.99720244555897e-5,-0.67
UGT1A1,UDP-glucuronosyltransferase 1-6;UDP-glucuronosyltransferase 1A1,-0.85,Up in X3,5.474,-15.2400341239483,2.38233179103007e-8,22.23,11,3.35625171607737e-6,1.2336313516383e-7,1.6975341180567e-5,-0.85
LCAT,Phosphatidylcholine-sterol acyltransferase,3.24,Up in X3H,5.4,14.93983070778,2.89508836570918e-8,15.42,1,3.98377624648866e-6,4.17610001059509e-8,6.33589327248491e-6,3.24
ABCB6,"ATP-binding cassette sub-family B member 6, mitochondrial",-0.42,Up in X3,5.39,-14.8713573537377,3.02824528361686e-8,18.68,17,4.07230166890022e-6,8.31499736555035e-7,7.56920606337868e-5,-0.42
APOA1,Apolipoprotein A-I,0.68,Up in X3H,5.39,14.8366795424018,3.09822557545311e-8,21.18,20,4.07382238443467e-6,3.07758213614441e-7,3.426046126012e-5,0.68
LDLR,Low-density lipoprotein receptor,1.13,Up in X3H,5.359,14.6943056227149,3.40465788143745e-8,17.61,13,4.37942623575334e-6,1.63089759156265e-7,2.09010453854054e-5,1.13
CCN2,CCN family member 2,1.02,Up in X3H,5.339,14.5951502585188,3.63760700075084e-8,16.81,6,4.57951502626441e-6,6.99922060263502e-8,1.03535970764478e-5,1.02
QSOX1,Sulfhydryl oxidase 1,2.25,Up in X3H,5.316,14.4827367399492,3.92300122192265e-8,17.19,9,4.8359162979409e-6,1.47466499375988e-7,1.98308926547209e-5,2.25
CYP51A1,Lanosterol 14-alpha demethylase,-0.46,Up in X3,5.256,-14.2520758190945,4.58840504224369e-8,20.81,24,5.54073319080733e-6,1.0612013599021e-6,9.37183350229963e-5,-0.46
SEMA3B,Semaphorin-3B,1.43,Up in X3H,5.247,14.191749986272,4.78215096423108e-8,17.53,8,5.65919745107106e-6,1.66021486076399e-7,2.09010453854054e-5,1.43
ASS1,Argininosuccinate synthase,0.97,Up in X3H,5.225,14.0890172270888,5.13300802166801e-8,18.29,8,5.955295777296e-6,1.64803779602979e-7,2.09010453854054e-5,0.97
CES2,Cocaine esterase,-0.57,Up in X3,5.222,-14.0494971719576,5.27539514790757e-8,20.81,20,6.00279097887867e-6,6.23052682918315e-7,6.24847919462317e-5,-0.57
GLT8D1,Glycosyltransferase 8 domain-containing protein 1,-0.72,Up in X3,5.198,-13.9436919683892,5.6783123470929e-8,18.73,12,6.33935361466956e-6,3.12526654368858e-7,3.426046126012e-5,-0.72
PLOD2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",0.49,Up in X3H,5.188,13.8842811299934,5.91921848487654e-8,20.37,28,6.4859288472249e-6,1.12199682156108e-6,9.73263049836322e-5,0.49
SIL1,Nucleotide exchange factor SIL1,0.94,Up in X3H,5.105,13.5883138488745,7.29821598656474e-8,17.49,11,7.85155345318246e-6,3.12669411533966e-7,3.426046126012e-5,0.94
CPA1,Carboxypeptidase A1,2.92,Up in X3H,5.085,13.5000731848814,7.77464531149247e-8,15.48,1,8.21474576930374e-6,1.03641267863462e-7,1.46010805225739e-5,2.92
LSS,Lanosterol synthase,-0.43,Up in X3,5.012,-13.2426795186262,9.36972418237058e-8,20.29,31,9.72643122580469e-6,2.26263390244525e-6,1.6528400988603e-4,-0.43
FDFT1,Squalene synthase,-0.65,Up in X3,4.97,-13.0858605569709,1.05148358919739e-7,22.77,19,1.07269455125534e-5,7.9713970119622e-7,7.38578785881833e-5,-0.65
ALDH6A1,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",-0.47,Up in X3,4.949,-13.0002496020569,1.12038592173382e-7,20.83,24,1.12361415235577e-5,1.81057949446956e-6,1.4096314301021e-4,-0.47
MATN3,Matrilin-3,4.72,Up in X3H,4.926,12.9046623200609,1.20319989010614e-7,17.61,21,1.18655562495967e-5,4.19131489583742e-7,4.42857325690537e-5,4.72
CPN1,Carboxypeptidase N catalytic chain,3.64,Up in X3H,4.893,12.783279099479,1.31814380750459e-7,15.68,4,1.27859949327945e-5,3.99265135482679e-7,4.29536692118366e-5,3.64
MTTP,Microsomal triglyceride transfer protein large subunit,-0.43,Up in X3,4.882,-12.7270966709521,1.37536239183759e-7,21.89,43,1.31258375362952e-5,3.07787048677441e-6,2.1802839792816e-4,-0.43
HBE1,Hemoglobin subunit epsilon,2.8,Up in X3H,4.87,12.6713962432259,1.43477901501421e-7,15.57,1,1.34755356060938e-5,1.91731226579645e-7,2.3634868076495e-5,2.8
BPIFB2,BPI fold-containing family B member 2,2.31,Up in X3H,4.82,12.5000281434897,1.63587401186175e-7,15.43,5,1.51241664502905e-5,4.67157699073105e-7,4.84942474634309e-5,2.31
SERPINE1,Plasminogen activator inhibitor 1,1.21,Up in X3H,4.667,12.0288118243414,2.36610045282735e-7,17.28,8,2.15387944298145e-5,7.21225080902334e-7,6.88304645757921e-5,1.21
FAT1,Protocadherin Fat 1,0.8,Up in X3H,4.661,11.99217548948,2.43627219237484e-7,17.12,45,2.18415493367908e-5,1.40380496665512e-6,1.169903378549e-4,0.8
PECR,Peroxisomal trans-2-enoyl-CoA reductase,-0.34,Non-significant,4.63,-11.8857456028468,2.653337773506e-7,21.45,22,2.34325367251269e-5,7.10496384568953e-6,4.3791740703067e-4,-0.34
AGL,Glycogen debranching enzyme,0.48,Up in X3H,4.623,11.8104800691218,2.81956218774458e-7,17.64,31,2.38333563784067e-5,3.46745786777764e-6,2.4137586121929e-4,0.48
AMACR,Alpha-methylacyl-CoA racemase,-0.51,Up in X3,4.623,-11.8306590934769,2.77390900716131e-7,19.01,13,2.38333563784067e-5,1.73333452362704e-6,1.3859649157163e-4,-0.51
LGALS1,Galectin-1,0.54,Up in X3H,4.623,11.8205672313901,2.79663922846338e-7,20.87,10,2.38333563784067e-5,1.13495268613666e-6,9.73263049836322e-5,0.54
TF,Serotransferrin,-0.24,Non-significant,4.622,-11.7916284849558,2.86295396023891e-7,22.39,58,2.38592937784981e-5,4.6048342236315e-5,0.00189886318630588,-0.24
TLN1,Talin-1;Talin-1;Talin-2,0.51,Up in X3H,4.612,11.7439377125737,2.97601597698262e-7,20.4,11,2.4457064633064098e-05,1.47650844997788e-6,1.2134028470165e-4,0.51
THBS1,Thrombospondin-1,5.01,Up in X3H,4.577,11.629938557685,3.26653060205035e-7,18.4,38,2.64767966744273e-5,1.04644141144506e-6,9.37183350229963e-5,5.01
PAH,Phenylalanine-4-hydroxylase,-0.5,Up in X3,4.532,-11.4876264132944,3.67343733304755e-7,18.86,12,2.93726063508681e-5,2.01674585536028e-6,1.5298827213034e-4,-0.5
COL6A2,Collagen alpha-2(VI) chain,2.85,Up in X3H,4.359,11.0011128835046,5.54127882790787e-7,15.93,7,4.37169957663078e-5,1.63857176944697e-6,1.3281409807969e-4,2.85
PLOD1,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",0.32,Non-significant,4.329,10.9041070493395,6.02586040320782e-7,20.12,38,4.69144947444483e-5,1.69321037141915e-5,8.9452908640063e-4,0.32
PCSK6,Proprotein convertase subtilisin/kexin type 6,2.28,Up in X3H,4.319,10.8636560257906,6.24142082950071e-7,17.41,11,4.79616714911113e-5,1.90635221694352e-6,1.4649202685266e-4,2.28
BDH1,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",-0.54,Up in X3,4.287,-10.7638915930423,6.80986715776876e-7,20.09,12,5.16589538109202e-5,3.09521470778527e-6,2.1802839792816e-4,-0.54
TFPI,Tissue factor pathway inhibitor,1.07,Up in X3H,4.279,10.7284792089753,7.02502185405044e-7,19.29,7,5.26165244435651e-5,1.78681714923617e-6,1.4096314301021e-4,1.07
FGL1,Fibrinogen-like protein 1,4.09,Up in X3H,4.27,10.6912743270919,7.2590780977611e-7,16.22,9,5.36899563805655e-5,2.14825370676936e-6,1.5889021478692e-4,4.09
HBA2,"Hemoglobin subunit alpha (Fragment);Hemoglobin subunit alpha (Fragment);HCG1745306, isoform CRA_a",1.76,Up in X3H,4.256,10.639694683617,7.59774230031079e-7,20.79,7,5.5501038507332e-5,2.11856323921362e-6,1.5867770489148e-4,1.76
FSCN1,Fascin,0.49,Up in X3H,4.193,10.4632243137513,8.89321300392955e-7,20.47,20,6.41721235905502e-5,6.26700985692922e-6,4.0306410134185e-4,0.49
PCMTD1,Protein-L-isoaspartate O-methyltransferase domain-containing protein 1,2.17,Up in X3H,4.154,10.3499330988452,9.85074604749923e-7,15.52,4,7.02251377868108e-5,2.30811084211387e-6,1.6654990064375e-4,2.17
HELB,DNA helicase B,4.65,Up in X3H,4.001,9.9501791709641,1.42397466430016e-6,16.33,2,9.98617770331388e-5,3.5193141903286e-6,2.4213700074621e-4,4.65
SARDH,"Sarcosine dehydrogenase, mitochondrial",-0.26,Non-significant,4.001,-9.94228364228728,1.43455316001636e-6,18.93,26,9.98617770331388e-5,4.84874127238787e-5,0.00193851365599453,-0.26
DHRS1,Dehydrogenase/reductase SDR family member 1,-0.35,Non-significant,3.944,-9.79131227514018,1.65420564829286e-6,18.96,10,1.1381319559242e-4,6.64246479668249e-6,4.1812195959542e-4,-0.35
FASN,Fatty acid synthase,-0.28,Non-significant,3.891,-9.6523670255035,1.88900367066176e-6,22.6,126,1.2847396229086e-4,5.03230949793204e-5,0.00198507835328426,-0.28
ITIH3,Inter-alpha-trypsin inhibitor heavy chain H3,4.08,Up in X3H,3.89,9.63774636854719,1.91574602024981e-6,18.1,10,1.2881215002066e-4,5.25242733637898e-6,3.4919789381297e-4,4.08
ILK,Integrin-linked protein kinase,0.94,Up in X3H,3.884,9.61246572977495,1.96296368810613e-6,17.17,3,1.3050400160139e-4,6.48722767293338e-7,6.39748769012447e-5,0.94
APOB,Apolipoprotein B-100,0.53,Up in X3H,3.841,9.49726371769609,2.19476775201211e-6,22.08,206,1.4429378654061e-4,1.22347030744382e-5,6.8295035935331e-4,0.53
TAGLN2,Transgelin-2,1.38,Up in X3H,3.836,9.47418125345331,2.24470441089759e-6,17.32,4,1.4595512087122e-4,3.91437513087391e-6,2.6622250171702e-4,1.38
TGFB1,Transforming growth factor beta-1 proprotein,2.52,Up in X3H,3.792,9.36114498672104,2.50776949104411e-6,15.49,4,1.6128773998378e-4,5.92669996055129e-6,3.8536575457782e-4,2.52
SLC2A14,"Solute carrier family 2, facilitated glucose transporter member 3",0.74,Up in X3H,3.774,9.30826309132339,2.64219892090098e-6,23.49,4,1.6810635499968e-4,1.29568547930819e-6,1.0952244258666e-4,0.74
C4BPA,C4b-binding protein alpha chain,4.47,Up in X3H,3.737,9.20969639336654,2.91416399485056e-6,17.61,24,1.833883041909e-4,7.77573876832897e-6,4.6473784133537e-4,4.47
FBXO2,F-box only protein 2,0.6,Up in X3H,3.737,9.18889244085139,2.97537218224222e-6,18.75,15,1.833883041909e-4,1.1327962494185e-5,6.3835765788659e-4,0.6
FMOD,Fibromodulin,3.5,Up in X3H,3.737,9.192934015453,2.96337274337697e-6,15.5,2,1.833883041909e-4,6.48154261436162e-6,4.1237943708793e-4,3.5
COMP,Thrombospondin-4;Cartilage oligomeric matrix protein,4.82,Up in X3H,3.73,9.16277596254044,3.0541974415477e-6,16.79,11,1.863060439344e-4,8.06431443689264e-6,4.7716548523093e-4,4.82
DYNC1H1,Cytoplasmic dynein 1 heavy chain 1,0.25,Non-significant,3.7,9.08555708574137,3.30084743960542e-6,20.53,181,1.9929708469536e-4,8.97646956586567e-5,0.0031060684456858,0.25
MMUT,"Methylmalonyl-CoA mutase, mitochondrial",-0.37,Non-significant,3.665,-8.99404296920149,3.62156073599458e-6,19.84,22,2.1645227146343e-4,2.84000238580285e-5,0.00132317276510201,-0.37
HMGCS1,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic",-0.41,Up in X3,3.655,-8.9627585417867,3.73884275980413e-6,19.07,16,2.2122732609761e-4,2.09626107612533e-5,0.00106927386098565,-0.41
AASS,"Alpha-aminoadipic semialdehyde synthase, mitochondrial",-0.37,Non-significant,3.651,-8.94358689653392,3.81275112128216e-6,18.78,20,2.2336681568937e-4,2.90013622630704e-5,0.00134034215918576,-0.37
ACADS,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial",-0.29,Non-significant,3.628,-8.87242766271826,4.10128014460275e-6,20.29,14,2.3560460791858e-4,3.48654251187939e-5,0.00150583007611608,-0.29
SEPTIN7,Septin-7,0.29,Non-significant,3.628,8.87578954360452,4.0871272899120804e-06,19.82,18,2.3560460791858e-4,4.71337199718281e-5,0.0019221063457221,0.29
SMPDL3B,Acid sphingomyelinase-like phosphodiesterase 3b,1.84,Up in X3H,3.624,8.85552001794951,4.17327008003184e-6,16.13,2,2.3743499099565e-4,5.52823180521374e-6,3.6345052879388e-4,1.84
COLEC10,Collectin-10,2.85,Up in X3H,3.609,8.81259203411225,4.36229420658633e-6,15.28,2,2.4582566495591e-4,8.59829535021599e-6,5.0216491456732e-4,2.85
ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,2.91,Up in X3H,3.595,8.77157547646929,4.5516194783179e-6,15.7,3,2.5407483446421e-4,1.00521241474815e-5,5.774603745694e-4,2.91
RBP4,Retinol-binding protein 4,-0.52,Up in X3,3.537,-8.6338952883515,5.25532998599837e-6,20.01,8,2.9061483670235e-4,1.12376442840459e-5,6.3835765788659e-4,-0.52
CLEC11A,C-type lectin domain family 11 member A,3.5,Up in X3H,3.534,8.61978257022129,5.33388477826419e-6,16.25,4,2.9222774289804e-4,1.27290147222655e-5,6.9098697350132e-4,3.5
RBP2,Retinol-binding protein 2,-0.86,Up in X3,3.525,-8.5898539194916,5.50472768518468e-6,18.54,2,2.9882085975447e-4,2.03062117389978e-7,2.4520786706051e-5,-0.86
FERMT3,Fermitin family homolog 3,2.21,Up in X3H,3.525,8.58116485601832,5.55543414833128e-6,15.46,5,2.9883185323342e-4,1.29163899919895e-5,6.9478435984183e-4,2.21
ACSL3,Long-chain-fatty-acid--CoA ligase 4;Long-chain-fatty-acid--CoA ligase 3,-0.37,Non-significant,3.518,-8.55593130689295,5.70558600513159e-6,21.46,26,3.0308089614728e-4,4.23446898021268e-5,0.00177697538694457,-0.37
DCTN1,Dynactin subunit 1,0.27,Non-significant,3.518,8.55076469694637,5.73687009776843e-6,18.52,32,3.0308089614728e-4,9.96738243483826e-5,0.00331331471162573,0.27
CLTB,Clathrin light chain B,0.47,Up in X3H,3.517,8.53811333993449,5.81426397491329e-6,19.67,7,3.0414012495936e-4,8.65655252422966e-6,5.0216491456732e-4,0.47
EML4,Echinoderm microtubule-associated protein-like 4,0.37,Non-significant,3.517,8.53076742195663,5.85972185995733e-6,21.45,36,3.0414012495936e-4,4.52816060447168e-5,0.0018868398800464,0.37
EBI3,Interleukin-27 subunit beta,2.14,Up in X3H,3.516,8.51204781665343,5.9773162789834e-6,15.23,1,3.0489465881676e-4,7.72418755715697e-6,4.6473784133537e-4,2.14
NSDHL,"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating",-0.37,Non-significant,3.516,-8.51285607101484,5.9721863286623e-6,21.34,20,3.0489465881676e-4,3.79023743864344e-5,0.00161344136147146,-0.37
LRP1,Prolow-density lipoprotein receptor-related protein 1,0.22,Non-significant,3.508,8.48714451776103,6.13774466471109e-6,19.27,65,3.1040201009483e-4,2.1067355388729e-4,0.00571814412087664,0.22
PRXL2A,Peroxiredoxin-like 2A,-0.42,Up in X3,3.493,-8.44657502004974,6.40919541440598e-6,21.41,11,3.2138312938169e-4,2.18411524858117e-5,0.00109063464553341,-0.42
PYGL,"Glycogen phosphorylase, liver form;Glycogen phosphorylase, liver form;Glycogen phosphorylase, brain form",0.39,Up in X3H,3.478,8.40688917499872,6.68738623514561e-6,20.42,8,3.3251482649879e-4,1.24261217655587e-5,6.8715292043748e-4,0.39
NNMT,Nicotinamide N-methyltransferase,1.66,Up in X3H,3.474,8.38292770742061,6.86167893737522e-6,16.89,5,3.3554177084668e-4,1.48799909500035e-5,7.9319735541595e-4,1.66
STIM1,Stromal interaction molecule 1,-0.29,Non-significant,3.474,-8.3884948665296,6.8207489010185e-6,19.96,16,3.3554177084668e-4,5.78016193967439e-5,0.00225008014454299,-0.29
MVK,Mevalonate kinase,-0.39,Up in X3,3.452,-8.32742764147429,7.28461199901704e-6,18.61,9,3.5330368195232e-4,1.81523616135196e-5,9.5050905900172e-4,-0.39
MIA2,Melanoma inhibitory activity protein 2,-0.26,Non-significant,3.444,-8.30215920818916,7.48646798062179e-6,18.83,27,3.6014171578324e-4,1.1875348639057e-4,0.00377776547834955,-0.26
ACOT1,Acyl-coenzyme A thioesterase 1,-0.25,Non-significant,3.412,-8.22732948131342,8.12069275268285e-6,22.84,30,3.8750112110987e-4,1.4198117640817e-4,0.00437553448337065,-0.25
HSD17B2,17-beta-hydroxysteroid dehydrogenase type 2,-0.54,Up in X3,3.403,-8.19739906589163,8.39049154115608e-6,18.22,10,3.9499439565746e-4,2.27238372043864e-5,0.00110210610441274,-0.54
VWA1,von Willebrand factor A domain-containing protein 1,1.65,Up in X3H,3.403,8.19514093058428,8.4112377645496e-6,15.55,8,3.9499439565746e-4,2.01064276093319e-5,0.00103451941012536,1.65
SCD,Acyl-CoA desaturase,-0.53,Up in X3,3.396,-8.17166965821954,8.63020178084142e-6,21.75,5,4.0208585777353e-4,5.17717072343338e-6,3.481058996654e-4,-0.53
HSPG2,Basement membrane-specific heparan sulfate proteoglycan core protein,3.04,Up in X3H,3.381,8.13351500734821,8.99945531604139e-6,16.99,86,4.1601388363294e-4,2.21186678154486e-5,0.00109063464553341,3.04
LTF,Lactotransferrin,1.33,Up in X3H,3.36,8.08338623826473,9.51086835403386e-6,17.45,2,4.3624657403735e-4,7.61296155372997e-6,4.6439065477752e-4,1.33
PYGB,"Glycogen phosphorylase, liver form;Glycogen phosphorylase, brain form",0.37,Non-significant,3.337,8.02825296797741,1.01099844661732e-5,21.1,37,4.6015983143343e-4,6.62898308476475e-5,0.00249832438933459,0.37
MVD,Diphosphomevalonate decarboxylase,-0.44,Up in X3,3.334,-8.01404663713887,1.0270907487068e-5,19.91,8,4.6391572214489e-4,2.01019385575492e-5,0.00103451941012536,-0.44
CCDC25,Coiled-coil domain-containing protein 25,-1.48,Up in X3,3.324,-7.98691546587255,1.0586007695817e-5,16.3,1,4.7452581466779e-4,6.90288493934958e-6,4.2994073880138e-4,-1.48
AK4,"Adenylate kinase 4, mitochondrial",-0.21,Non-significant,3.277,-7.88362673934197,1.18850290543808e-5,22.73,18,5.2874975123888e-4,1.9150370796177e-4,0.00538749432174463,-0.21
RBP1,Retinol-binding protein 1,1.56,Up in X3H,3.276,7.8751917144129,1.19985011265743e-5,17.35,4,5.2981441168611e-4,2.2611083247235e-5,0.00110210610441274,1.56
ERMP1,Endoplasmic reticulum metallopeptidase 1,-0.25,Non-significant,3.271,-7.8576324698823,1.22385007828677e-5,20.48,28,5.3640895653502e-4,1.7181901024482e-4,0.00500814326905728,-0.25
ARR3,Arrestin-C,-0.98,Up in X3,3.264,-7.8382409717906,1.25096034823517e-5,16.8,1,5.4425973386084e-4,6.90352077919009e-7,6.69641515581438e-5,-0.98
PPT1,Palmitoyl-protein thioesterase 1,0.38,Up in X3H,3.233,7.76911308981227,1.35302775280922e-5,18.59,10,5.843697236038e-4,3.82329203785893e-5,0.00161588707057223,0.38
