"Genes","ProtDesc","X1_vs_X3","Diff_Abund","negLog10_sca_adjPval","sca.t","sca.P.Value","AveExpr","count","sca.adj.pval","P.Value","adj.P.Val","Comparison","X1H_vs_X3H","X3_vs_X5","X3H_vs_X5H"
"SRXN1","Sulfiredoxin-1",-0.74,"Up in X1",6.404,-17.5289452383977,5.99995819845138e-09,20.15,11,3.94463918447076e-07,4.57838586748203e-08,2.80353752418039e-06,"X1 vs X3 Up",NA,NA,NA
"EXOSC10","Exosome component 10",-0.56,"Up in X1",6.368,-17.2605703775549,6.98952443931884e-09,19.17,22,4.28580414836305e-07,2.55202330160175e-07,7.68455627932294e-06,"X1 vs X3 Up",NA,NA,NA
"NOP53","Ribosome biogenesis protein NOP53",-1.23,"Up in X1",6.368,-17.1968746708402,7.24978681708562e-09,17.16,5,4.28969885966956e-07,6.2481435604869e-09,9.17711653093854e-07,"X1 vs X3 Up",NA,NA,NA
"NOP2","Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase",-0.62,"Up in X1",6.347,-17.0621991957956,7.83571698547638e-09,20.84,23,4.50135314592852e-07,2.04580090447771e-07,6.78346062111829e-06,"X1 vs X3 Up",NA,NA,NA
"GTPBP4","Nucleolar GTP-binding protein 1",-0.62,"Up in X1",6.287,-16.7631604189353,9.33100562326089e-09,20.28,22,5.15995890400324e-07,2.14610313924988e-07,7.0157415883655e-06,"X1 vs X3 Up",NA,NA,NA
"MCM5","DNA replication licensing factor MCM5",-0.82,"Up in X1",6.247,-16.5749671858365,1.04307321920113e-08,19.27,14,5.66226076881933e-07,8.95618595375934e-08,4.30631717064009e-06,"X1 vs X3 Up",NA,NA,NA
"MDC1","Mediator of DNA damage checkpoint protein 1",-0.96,"Up in X1",6.215,-16.3911652599994,1.16431416766332e-08,17.56,21,6.09667869917158e-07,1.00523133876801e-07,4.54941621440291e-06,"X1 vs X3 Up",NA,NA,NA
"APLP2","Amyloid-like protein 2",-1.22,"Up in X1",6.132,-15.9635795496601,1.51051935285835e-08,18.81,11,7.38656447178751e-07,7.14341627474112e-08,3.7556832452228e-06,"X1 vs X3 Up",NA,NA,NA
"APOA2","Apolipoprotein A-II",-0.97,"Up in X1",6.108,-15.8504357127181,1.6199942761009e-08,20.23,6,7.79309441600732e-07,1.91872154525134e-08,1.56888010956111e-06,"X1 vs X3 Up",NA,NA,NA
"KIF4A","Chromosome-associated kinesin KIF4A",-1.34,"Up in X1",6.099,-15.8025974014512,1.66886847662504e-08,16.46,10,7.96346352918579e-07,7.09385073435436e-08,3.7556832452228e-06,"X1 vs X3 Up",NA,NA,NA
"SLC3A2","4F2 cell-surface antigen heavy chain",-0.73,"Up in X1",6.052,-15.5682706566383,1.9327733565411e-08,21.23,28,8.86528678345248e-07,2.57147565202965e-07,7.68455627932294e-06,"X1 vs X3 Up",NA,NA,NA
"ESF1","ESF1 homolog",-1.13,"Up in X1",6.041,-15.4759381471982,2.04903078507494e-08,18.1,13,9.09234547717924e-07,1.07915311106417e-07,4.71961537102304e-06,"X1 vs X3 Up",NA,NA,NA
"PRPF6","Pre-mRNA-processing factor 6",-0.38,"Up in X1",6.039,-15.4468429944483,2.08723403198802e-08,19.9,34,9.14826945723935e-07,2.68307977824871e-06,3.72670963565672e-05,"X1 vs X3 Up",NA,NA,NA
"UTP4","U3 small nucleolar RNA-associated protein 4 homolog",-0.8,"Up in X1",5.976,-15.0639002698284,2.66983815114015e-08,18.75,10,1.05715566560527e-06,1.2514625782828e-07,5.07185210664338e-06,"X1 vs X3 Up",NA,NA,NA
"PES1","Pescadillo homolog",-0.56,"Up in X1",5.962,-14.977561143002,2.82446316881108e-08,19.62,15,1.09231036404282e-06,3.95973720961246e-07,1.03225571159647e-05,"X1 vs X3 Up",NA,NA,NA
"DDX47","Probable ATP-dependent RNA helicase DDX47",-0.61,"Up in X1",5.948,-14.9108232081405,2.9506993262191e-08,19.55,14,1.12640567182183e-06,3.09146222330665e-07,8.62838772420069e-06,"X1 vs X3 Up",NA,NA,NA
"CEMIP","Cell migration-inducing and hyaluronan-binding protein",-1.96,"Up in X1",5.902,-14.721876668259,3.34282029343604e-08,17.45,41,1.25186504280133e-06,1.48625029301032e-07,5.45522317355516e-06,"X1 vs X3 Up",NA,NA,NA
"PPT1","Palmitoyl-protein thioesterase 1",-0.65,"Up in X1",5.86,-14.5145990694819,3.83969999899684e-08,18.73,10,1.38081935574189e-06,1.90474058099653e-07,6.50818043285743e-06,"X1 vs X3 Up",NA,NA,NA
"CHCHD2","Coiled-coil-helix-coiled-coil-helix domain-containing protein 2",-1.37,"Up in X1",5.799,-14.152541556431,4.91286288899437e-08,17.99,3,1.58849233410818e-06,9.78739687920252e-09,1.11369283335079e-06,"X1 vs X3 Up",NA,NA,NA
"DDX24","ATP-dependent RNA helicase DDX24",-1.04,"Up in X1",5.799,-14.1539056716366,4.90825020190727e-08,18.38,15,1.58849233410818e-06,2.56438060369061e-07,7.68455627932294e-06,"X1 vs X3 Up",NA,NA,NA
"NOSIP","Nitric oxide synthase-interacting protein",-0.82,"Up in X1",5.782,-14.0873877216796,5.13879519302271e-08,17.71,8,1.65251364984323e-06,1.41500659110391e-07,5.36704743561655e-06,"X1 vs X3 Up",NA,NA,NA
"CD320","CD320 antigen",-1.72,"Up in X1",5.773,-14.0422654577071,5.30191486113165e-08,17.83,4,1.68651619880689e-06,8.17607359310993e-08,4.09981588562979e-06,"X1 vs X3 Up",NA,NA,NA
"PDCD11","Protein RRP5 homolog",-0.41,"Up in X1",5.772,-14.0074664716907,5.43158255909008e-08,19.45,56,1.69150915800716e-06,3.35813210357729e-06,4.37666688477243e-05,"X1 vs X3 Up",NA,NA,NA
"MDN1","Midasin",-0.64,"Up in X1",5.766,-13.9697427914607,5.57607723025718e-08,17.65,34,1.71548686225199e-06,7.61932679613696e-07,1.55998465926444e-05,"X1 vs X3 Up",NA,NA,NA
"HEATR1","HEAT repeat-containing protein 1",-0.6,"Up in X1",5.753,-13.886127068607,5.91156734473384e-08,19.81,43,1.76660323125203e-06,9.61104010837579e-07,1.80534997845268e-05,"X1 vs X3 Up",NA,NA,NA
"DNTTIP2","Deoxynucleotidyltransferase terminal-interacting protein 2",-0.56,"Up in X1",5.731,-13.7932140498787,6.31046099971153e-08,18.38,14,1.8576615788703e-06,6.32804334590243e-07,1.35173402446587e-05,"X1 vs X3 Up",NA,NA,NA
"UTP11","Probable U3 small nucleolar RNA-associated protein 11",-0.77,"Up in X1",5.717,-13.7261417732471,6.61668455413059e-08,19.07,10,1.91916286797994e-06,2.81179223644899e-07,8.17468181405215e-06,"X1 vs X3 Up",NA,NA,NA
"ASNS","Asparagine synthetase [glutamine-hydrolyzing]",-1.01,"Up in X1",5.71,-13.6951296390253,6.76373372785478e-08,18.9,13,1.9486215601042e-06,3.2055556955435e-07,8.86321170585554e-06,"X1 vs X3 Up",NA,NA,NA
"ORM1","Alpha-1-acid glycoprotein 1",-1.61,"Up in X1",5.694,-13.6234105186671,7.11767374556617e-08,16.07,3,2.0242967176859e-06,4.50869114248853e-08,2.80353752418039e-06,"X1 vs X3 Up",NA,NA,NA
"TGFB1","Transforming growth factor beta-1 proprotein",-3.46,"Up in X1",5.694,-13.6147123467609,7.16195875340754e-08,15.96,4,2.0242967176859e-06,2.06921048879628e-07,6.80195470122645e-06,"X1 vs X3 Up",NA,NA,NA
"UTP20","Small subunit processome component 20 homolog",-0.48,"Up in X1",5.694,-13.5970435545067,7.25284610696992e-08,18.95,35,2.0242967176859e-06,2.05011236730991e-06,3.11838428724234e-05,"X1 vs X3 Up",NA,NA,NA
"WDR12","Ribosome biogenesis protein WDR12",-0.42,"Up in X1",5.694,-13.6290288317778,7.08922838814e-08,19.41,15,2.0242967176859e-06,1.47817295284249e-06,2.49429879145932e-05,"X1 vs X3 Up",NA,NA,NA
"TRIM24","Transcription intermediary factor 1-alpha",-0.5,"Up in X1",5.687,-13.5412938916519,7.54798446911679e-08,18.21,12,2.0581301430306e-06,6.78481361541993e-07,1.4236078781007e-05,"X1 vs X3 Up",NA,NA,NA
"GNL2","Nucleolar GTP-binding protein 2",-1.09,"Up in X1",5.686,-13.5329933360393,7.59303946699771e-08,18.04,14,2.06091809753328e-06,3.51485174483523e-07,9.58404505723043e-06,"X1 vs X3 Up",NA,NA,NA
"RRP1B","Ribosomal RNA processing protein 1 homolog B",-0.55,"Up in X1",5.669,-13.459973582718,8.00229829807817e-08,19.46,20,2.14251579320038e-06,1.08917019401659e-06,1.97902667801505e-05,"X1 vs X3 Up",NA,NA,NA
"GEMIN4","Gem-associated protein 4",-0.58,"Up in X1",5.648,-13.3724487904723,8.52491937493272e-08,17.35,12,2.24669761799441e-06,5.9416189941872e-07,1.29864883563344e-05,"X1 vs X3 Up",NA,NA,NA
"MCM3","DNA replication licensing factor MCM3",-0.72,"Up in X1",5.648,-13.3694784167037,8.5432983614795e-08,19.01,22,2.24669761799441e-06,7.07473670079928e-07,1.46367891813389e-05,"X1 vs X3 Up",NA,NA,NA
"CPD","Carboxypeptidase D",-0.48,"Up in X1",5.645,-13.3510071031935,8.65856488568584e-08,20.06,24,2.26693488622138e-06,1.89389140263781e-06,2.94124814420155e-05,"X1 vs X3 Up",NA,NA,NA
"NOC4L","Nucleolar complex protein 4 homolog",-0.57,"Up in X1",5.597,-13.1465966163748,1.00541308397378e-07,19.05,19,2.53150179483952e-06,1.15617856056096e-06,2.07306319479975e-05,"X1 vs X3 Up",NA,NA,NA
"EIF4G2","Eukaryotic translation initiation factor 4 gamma 2",-0.41,"Up in X1",5.569,-13.0502780168438,1.07954245547905e-07,19.33,22,2.69521211353144e-06,3.32624543378545e-06,4.35010185480335e-05,"X1 vs X3 Up",NA,NA,NA
"BYSL","Bystin",-0.58,"Up in X1",5.553,-12.975754082578,1.14099746312661e-07,18.88,8,2.80136182129466e-06,2.47632268503491e-07,7.6714143075139e-06,"X1 vs X3 Up",NA,NA,NA
"SLC1A5","Neutral amino acid transporter B(0)",-0.74,"Up in X1",5.553,-12.9833808394183,1.13453592107107e-07,21.04,10,2.80136182129466e-06,4.60350288003602e-07,1.11634944840874e-05,"X1 vs X3 Up",NA,NA,NA
"CPLX2","Complexin-2",-1.27,"Up in X1",5.547,-12.9482540935606,1.16463203473762e-07,19.14,3,2.83592315643323e-06,2.5482535869817e-08,1.81662849086394e-06,"X1 vs X3 Up",NA,NA,NA
"DDX27","Probable ATP-dependent RNA helicase DDX27",-0.52,"Up in X1",5.539,-12.9016041514543,1.20595752179545e-07,20.38,26,2.88892739128084e-06,1.87989819997363e-06,2.93492286259735e-05,"X1 vs X3 Up",NA,NA,NA
"USP36","Ubiquitin carboxyl-terminal hydrolase 36",-0.95,"Up in X1",5.537,-12.8832108014838,1.22268965352912e-07,19.15,9,2.90548380720152e-06,4.07266169034718e-07,1.04765034849551e-05,"X1 vs X3 Up",NA,NA,NA
"POLR1G","DNA-directed RNA polymerase I subunit RPA34",-0.75,"Up in X1",5.529,-12.8482317288915,1.25521375142518e-07,17.95,6,2.95900389130789e-06,1.13510427464214e-07,4.8319510741421e-06,"X1 vs X3 Up",NA,NA,NA
"UTP14A","U3 small nucleolar RNA-associated protein 14 homolog C;U3 small nucleolar RNA-associated protein 14 homolog A",-0.68,"Up in X1",5.499,-12.7419276825182,1.35999880014092e-07,18.98,6,3.16815468521016e-06,8.89446525505781e-08,4.30631717064009e-06,"X1 vs X3 Up",NA,NA,NA
"SDAD1","Protein SDA1 homolog",-0.79,"Up in X1",5.499,-12.7364466327487,1.36565472269545e-07,18.17,8,3.16885450752509e-06,3.60811555229437e-07,9.79322005638798e-06,"X1 vs X3 Up",NA,NA,NA
"ATXN2L","Ataxin-2-like protein",-0.5,"Up in X1",5.482,-12.6793072660462,1.42617193198747e-07,21.16,19,3.29635129748823e-06,1.9297486524311e-06,2.98128532021796e-05,"X1 vs X3 Up",NA,NA,NA
"RNF149","E3 ubiquitin-protein ligase RNF149",-1.55,"Up in X1",5.418,-12.4525221509733,1.6969312881056e-07,18.19,6,3.81777278772655e-06,4.25812803984693e-07,1.07436333919741e-05,"X1 vs X3 Up",NA,NA,NA
"CSDE1","Cold shock domain-containing protein E1",-0.78,"Up in X1",5.417,-12.4308648527199,1.72558870180869e-07,19.45,29,3.82742418866633e-06,1.16102593808553e-06,2.07546540049912e-05,"X1 vs X3 Up",NA,NA,NA
"NIFK","MKI67 FHA domain-interacting nucleolar phosphoprotein",-0.54,"Up in X1",5.417,-12.4329549372912,1.72280014321428e-07,19.46,12,3.82742418866633e-06,1.12611000773357e-06,2.03146125480473e-05,"X1 vs X3 Up",NA,NA,NA
"NOB1","RNA-binding protein NOB1",-1.05,"Up in X1",5.413,-12.3924491947599,1.77773022244845e-07,18.77,7,3.86721681111303e-06,4.29657511622864e-07,1.07436333919741e-05,"X1 vs X3 Up",NA,NA,NA
"NOP16","Nucleolar protein 16",-0.67,"Up in X1",5.409,-12.369940342642,1.80907924149968e-07,19.55,6,3.89580957411467e-06,1.2143727182439e-07,5.03799447094529e-06,"X1 vs X3 Up",NA,NA,NA
"TCOF1","Treacle protein",-0.42,"Up in X1",5.392,-12.2822600405139,1.93707883037849e-07,20.46,20,4.05899774715027e-06,4.01958883280787e-06,4.94467923570149e-05,"X1 vs X3 Up",NA,NA,NA
"STAU1","Double-stranded RNA-binding protein Staufen homolog 1",-0.39,"Up in X1",5.385,-12.2501480930049,1.98640472439283e-07,20.82,17,4.11803747341179e-06,4.08444044175472e-06,4.99663217378375e-05,"X1 vs X3 Up",NA,NA,NA
"NCR3LG1","Natural cytotoxicity triggering receptor 3 ligand 1",-2.2,"Up in X1",5.38,-12.2225802632073,2.02984578742906e-07,17.54,8,4.17301120495656e-06,6.29938425116956e-07,1.35048755848443e-05,"X1 vs X3 Up",NA,NA,NA
"TOP1","DNA topoisomerase 1",-0.45,"Up in X1",5.37,-12.1722242479676,2.1118989244014e-07,21.64,27,4.26488257190549e-06,3.96534727669418e-06,4.89441899011237e-05,"X1 vs X3 Up",NA,NA,NA
"MTHFD2","Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",-0.9,"Up in X1",5.37,-12.1661000144979,2.12212264922785e-07,20.22,7,4.2670286982868e-06,4.59426944185518e-07,1.11634944840874e-05,"X1 vs X3 Up",NA,NA,NA
"DCAF13","DDB1- and CUL4-associated factor 13",-0.71,"Up in X1",5.364,-12.140200742228,2.16596009373877e-07,18.54,10,4.3297249576528e-06,8.2508745872751e-07,1.6549296587426e-05,"X1 vs X3 Up",NA,NA,NA
"NOL11","Nucleolar protein 11",-0.69,"Up in X1",5.347,-12.0613709488572,2.30558745219143e-07,18.75,18,4.50236335135864e-06,1.47963305019811e-06,2.49429879145932e-05,"X1 vs X3 Up",NA,NA,NA
"OAT","Ornithine aminotransferase, mitochondrial",-0.57,"Up in X1",5.336,-12.0274097424708,2.36874495771938e-07,21.06,25,4.61048155092946e-06,2.3872717884999e-06,3.41904648105211e-05,"X1 vs X3 Up",NA,NA,NA
"SMARCA1","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5;Probable global transcription activator SNF2L1",-0.39,"Up in X1",5.331,-12.0030015967043,2.41530270207628e-07,19.09,13,4.67037453862266e-06,2.97350804791023e-06,3.99808297357713e-05,"X1 vs X3 Up",NA,NA,NA
"NUFIP2","Nuclear fragile X mental retardation-interacting protein 2",-0.86,"Up in X1",5.327,-11.9855497313376,2.44920386423753e-07,17.09,7,4.70517508593943e-06,5.11631424572901e-07,1.18596973593724e-05,"X1 vs X3 Up",NA,NA,NA
"DNAJA1","DnaJ homolog subfamily A member 1",-0.83,"Up in X1",5.324,-11.9698680993215,2.48010969909717e-07,18.84,10,4.74438772926614e-06,8.86217885382949e-07,1.72491816704306e-05,"X1 vs X3 Up",NA,NA,NA
"CCDC86","Coiled-coil domain-containing protein 86",-0.84,"Up in X1",5.303,-11.8712543092995,2.68449118867955e-07,18.53,9,4.97935246502098e-06,8.4040264035636e-07,1.67587933655639e-05,"X1 vs X3 Up",NA,NA,NA
"RPF2","Ribosome production factor 2 homolog",-0.74,"Up in X1",5.303,-11.8672668905065,2.69313324209631e-07,18.61,8,4.97977168546371e-06,6.7567669942702e-07,1.42276833825967e-05,"X1 vs X3 Up",NA,NA,NA
"PNO1","RNA-binding protein PNO1",-0.61,"Up in X1",5.291,-11.8229897414631,2.79116444758502e-07,19.27,6,5.1131021784398e-06,1.57164639391835e-07,5.56852198372148e-06,"X1 vs X3 Up",NA,NA,NA
"DHX33","ATP-dependent RNA helicase DHX33",-0.92,"Up in X1",5.291,-11.8175451379647,2.80348548388133e-07,18.26,11,5.11982210127341e-06,1.03623624537475e-06,1.89826930770352e-05,"X1 vs X3 Up",NA,NA,NA
"MRTO4","mRNA turnover protein 4 homolog",-0.53,"Up in X1",5.277,-11.761591171545,2.93360609144886e-07,20.66,7,5.28826186938633e-06,3.05411819704516e-07,8.60447428915397e-06,"X1 vs X3 Up",NA,NA,NA
"RPS7","40S ribosomal protein S7",-0.4,"Up in X1",5.277,-11.7587420273455,2.94040587295607e-07,22.22,11,5.28826186938633e-06,2.13787157878866e-06,3.18634411377644e-05,"X1 vs X3 Up",NA,NA,NA
"DDX18","ATP-dependent RNA helicase DDX18",-0.58,"Up in X1",5.276,-11.7496178661242,2.96229765902321e-07,20.45,17,5.29544267324482e-06,2.25268547846257e-06,3.29934459263617e-05,"X1 vs X3 Up",NA,NA,NA
"SPRY4","Protein sprouty homolog 4",-1.64,"Up in X1",5.25,-11.6727044602004,3.15406962130755e-07,18.98,3,5.62127408110747e-06,3.17497831701647e-07,8.81988108065092e-06,"X1 vs X3 Up",NA,NA,NA
"NOM1","Nucleolar MIF4G domain-containing protein 1",-0.84,"Up in X1",5.231,-11.5860640045232,3.38647132949285e-07,17.02,8,5.87825092526198e-06,8.85034648474399e-07,1.72491816704306e-05,"X1 vs X3 Up",NA,NA,NA
"SRPRB","Signal recognition particle receptor subunit beta",-0.49,"Up in X1",5.228,-11.5753892064098,3.41637472346e-07,20.59,19,5.91072784757685e-06,3.61958599013236e-06,4.58610070741182e-05,"X1 vs X3 Up",NA,NA,NA
"RRP12","RRP12-like protein",-0.49,"Up in X1",5.216,-11.5267303544177,3.55638215935403e-07,19.78,29,6.07520948201594e-06,4.50180724772311e-06,5.37040191225356e-05,"X1 vs X3 Up",NA,NA,NA
"CKB","Creatine kinase B-type",-1.18,"Up in X1",5.211,-11.4998732119037,3.63633138427373e-07,19.72,9,6.1481723410923e-06,1.10795550497871e-06,2.00482346267859e-05,"X1 vs X3 Up",NA,NA,NA
"RRP1","Ribosomal RNA processing protein 1 homolog A",-0.51,"Up in X1",5.201,-11.4609887214208,3.75558026774138e-07,19.3,11,6.29511853944073e-06,1.91388663973417e-06,2.96452022180814e-05,"X1 vs X3 Up",NA,NA,NA
"SMC2","Structural maintenance of chromosomes protein 2",-0.65,"Up in X1",5.173,-11.3696408834126,4.05285408097561e-07,18.15,21,6.71729344457498e-06,2.63346666424032e-06,3.69488460590082e-05,"X1 vs X3 Up",NA,NA,NA
"NCAPD2","Condensin complex subunit 1",-0.69,"Up in X1",5.156,-11.3104412149768,4.2591686645311e-07,17.43,19,6.98102520444058e-06,2.43245554760391e-06,3.45981718153182e-05,"X1 vs X3 Up",NA,NA,NA
"DDX50","ATP-dependent RNA helicase DDX50;ATP-dependent RNA helicase DDX50;Nucleolar RNA helicase 2",-1.08,"Up in X1",5.146,-11.2658802545608,4.42202272919848e-07,20.81,3,7.14893674553754e-06,7.22129627286333e-08,3.7556832452228e-06,"X1 vs X3 Up",NA,NA,NA
"MCM2","DNA replication licensing factor MCM2",-0.67,"Up in X1",5.142,-11.2523977798265,4.4726256109511e-07,18.62,19,7.21104243596666e-06,2.64143347692419e-06,3.69488460590082e-05,"X1 vs X3 Up",NA,NA,NA
"CHAF1B","Chromatin assembly factor 1 subunit B",-1.24,"Up in X1",5.137,-11.2326754913026,4.54778943813163e-07,16.72,4,7.29265869345245e-06,4.89099812810016e-07,1.15184072497536e-05,"X1 vs X3 Up",NA,NA,NA
"DDX3X","ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y",-0.53,"Up in X1",5.127,-11.1966948078758,4.68849072703048e-07,20.37,21,7.45747301931165e-06,4.12759583732326e-06,5.0091307948657e-05,"X1 vs X3 Up",NA,NA,NA
"RANGAP1","Ran GTPase-activating protein 1",-0.39,"Up in X1",5.105,-11.1047896277091,5.06991213277128e-07,19.73,20,7.85305499727949e-06,8.70040512523516e-06,8.76573396783591e-05,"X1 vs X3 Up",NA,NA,NA
"NOL7","Nucleolar protein 7",-0.64,"Up in X1",5.078,-11.0169135368085,5.46645346213667e-07,19.58,7,8.35788246394384e-06,8.6054656252674e-07,1.69286315997696e-05,"X1 vs X3 Up",NA,NA,NA
"EIF4A1","Eukaryotic initiation factor 4A-III;Eukaryotic initiation factor 4A-I;Eukaryotic initiation factor 4A-I;Eukaryotic initiation factor 4A-II",-0.48,"Up in X1",5.06,-10.9455984319526,5.81316081706091e-07,22.09,7,8.71802745468494e-06,5.25368690068371e-07,1.20023418499403e-05,"X1 vs X3 Up",NA,NA,NA
"MTHFD1L","Monofunctional C1-tetrahydrofolate synthase, mitochondrial",-0.55,"Up in X1",5.06,-10.9442632762612,5.81987636403676e-07,19.1,25,8.71802745468494e-06,4.81011337355583e-06,5.62051162694062e-05,"X1 vs X3 Up",NA,NA,NA
"UTP6","U3 small nucleolar RNA-associated protein 6 homolog",-0.6,"Up in X1",5.059,-10.9386535054275,5.84818490154852e-07,18.64,15,8.73831062183398e-06,3.29139308391078e-06,4.33745498385303e-05,"X1 vs X3 Up",NA,NA,NA
"ZNF593","Zinc finger protein 593",-1.95,"Up in X1",5.054,-10.9213146466903,5.93663536011951e-07,16.64,2,8.8219049630869e-06,5.67527885332107e-07,1.25779771063269e-05,"X1 vs X3 Up",NA,NA,NA
"HSPA13","Heat shock 70 kDa protein 13",-0.73,"Up in X1",5.036,-10.8567860765629,6.27885858535714e-07,18.55,9,9.19778565242015e-06,1.83855005514425e-06,2.90098684701027e-05,"X1 vs X3 Up",NA,NA,NA
"GHITM","Growth hormone-inducible transmembrane protein",-1.26,"Up in X1",5.033,-10.8416681626568,6.36210879377904e-07,19.08,2,9.27206840709127e-06,6.63406537615796e-08,3.63460785469691e-06,"X1 vs X3 Up",NA,NA,NA
"TPX2","Targeting protein for Xklp2",-2.08,"Up in X1",5.02,-10.7971144339979,6.61453398666847e-07,16.18,10,9.54590185344326e-06,1.94990131469848e-06,2.99677041014829e-05,"X1 vs X3 Up",NA,NA,NA
"SMARCA5","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5;Probable global transcription activator SNF2L1",-0.53,"Up in X1",5.01,-10.7610590212791,6.82680989414637e-07,19.1,7,9.78068623333271e-06,7.89754367861612e-07,1.60583388131861e-05,"X1 vs X3 Up",NA,NA,NA
