"Genes","ProtDesc","X1H_vs_H5H","Diff_Abund","negLog10_sca_adjPval","sca.t","sca.P.Value","AveExpr","count","sca.adj.pval","P.Value","adj.P.Val","SharedSignificant","unchanged","backgrdnd"
"MYBBP1A","Myb-binding protein 1A",-1.1,"Up in X1H",9.057,-31.7804860901599,8.86916790406492e-12,20.23,33,8.77670976756491e-10,1.18436514628079e-09,5.43247176011121e-08,FALSE,TRUE,FALSE
"MPST","3-mercaptopyruvate sulfurtransferase",0.86,"Up in X5H",9.047,31.6006836016781,9.40825690150565e-12,20.66,22,8.97881549777564e-10,2.48895372544683e-09,8.92532545573759e-08,FALSE,TRUE,FALSE
"SLC3A2","4F2 cell-surface antigen heavy chain",-1.28,"Up in X1H",9.004,-31.2579943203795,1.05377852718892e-11,21.01,28,9.8971548339315e-10,7.12720975202126e-10,4.2597676871424e-08,FALSE,TRUE,FALSE
"GNL3","Guanine nucleotide-binding protein-like 3",-1.15,"Up in X1H",8.989,-31.102444168561,1.10987705588789e-11,20.26,22,1.02611602182636e-09,8.61529226661863e-10,4.77303228988368e-08,FALSE,TRUE,FALSE
"DDX56","Probable ATP-dependent RNA helicase DDX56",-1.27,"Up in X1H",8.925,-30.4879633224582,1.36568956984738e-11,18.6,14,1.18835076246867e-09,3.98240488398253e-10,2.98277084791451e-08,FALSE,TRUE,FALSE
"RRP12","RRP12-like protein",-1.04,"Up in X1H",8.925,-30.5109999242853,1.35501179767183e-11,19.5,29,1.18835076246867e-09,1.73215243724774e-09,7.03535238536203e-08,FALSE,TRUE,FALSE
"XRN2","5'-3' exoribonuclease 2",-0.94,"Up in X1H",8.909,-30.2944675976198,1.45910028209308e-11,19.48,25,1.23335662416353e-09,2.33923371096507e-09,8.4397840657197e-08,FALSE,TRUE,FALSE
"CEMIP","Cell migration-inducing and hyaluronan-binding protein",-1.67,"Up in X1H",8.898,-30.159773804251,1.52824429691797e-11,20.71,41,1.26504482717896e-09,5.08879180842084e-10,3.48478328278326e-08,TRUE,FALSE,FALSE
"TOP1","DNA topoisomerase 1",-1.06,"Up in X1H",8.898,-30.1323534835798,1.54275503046814e-11,21.41,27,1.26504482717896e-09,1.62752081312954e-09,6.73429416173949e-08,FALSE,TRUE,FALSE
"COL6A3","Collagen alpha-3(VI) chain",-2.73,"Up in X1H",8.889,-30.0025308489846,1.61353422361184e-11,17.85,12,1.29017324339342e-09,1.8602945669563e-10,1.86565473774244e-08,FALSE,FALSE,FALSE
"TST","Thiosulfate sulfurtransferase",1.46,"Up in X5H",8.882,29.9143171527343,1.66365275567045e-11,20.87,19,1.31251111404028e-09,5.18251377611124e-10,3.48478328278326e-08,TRUE,FALSE,FALSE
"FAT1","Protocadherin Fat 1",-1.4,"Up in X1H",8.879,-29.8545282115713,1.69858932138565e-11,18.19,45,1.32244118613669e-09,8.57222808617516e-10,4.77303228988368e-08,FALSE,FALSE,FALSE
"THBS1","Thrombospondin-1",-2.35,"Up in X1H",8.878,-29.8104598467008,1.72485366767886e-11,22.16,38,1.32544924047478e-09,3.16713673040496e-10,2.56711616901454e-08,FALSE,FALSE,FALSE
"HMOX1","Heme oxygenase 1",-2.17,"Up in X1H",8.876,-29.7262362834065,1.77629508685192e-11,20.31,8,1.33042253530416e-09,1.2259654097519e-10,1.4508074659004e-08,TRUE,FALSE,FALSE
"DDI2","Protein DDI1 homolog 2",1.46,"Up in X5H",8.824,29.3143596115753,2.05325543852677e-11,18.66,15,1.49989042342752e-09,4.72028150290025e-10,3.40608605520254e-08,FALSE,FALSE,FALSE
"UTP18","U3 small nucleolar RNA-associated protein 18 homolog",-1.39,"Up in X1H",8.802,-29.1379527669239,2.18604896549454e-11,18.56,8,1.57742094254039e-09,8.98214882520878e-11,1.20789487724455e-08,FALSE,TRUE,FALSE
"RBM28","RNA-binding protein 28",-0.97,"Up in X1H",8.776,-28.8797310816467,2.39768114786944e-11,18.59,18,1.67527578055771e-09,1.84901624306109e-09,7.29054000278062e-08,FALSE,TRUE,FALSE
"NIFK","MKI67 FHA domain-interacting nucleolar phosphoprotein",-1.42,"Up in X1H",8.744,-28.6325395918074,2.62143174888901e-11,19.18,12,1.80360600676468e-09,4.11842814385219e-10,3.04609241589668e-08,FALSE,FALSE,FALSE
"MTHFD1L","Monofunctional C1-tetrahydrofolate synthase, mitochondrial",-1.14,"Up in X1H",8.737,-28.5547028719093,2.69654135545981e-11,18.96,25,1.83395806899491e-09,1.66333127129702e-09,6.8346743974059e-08,FALSE,FALSE,FALSE
"APOA4","Apolipoprotein A-IV",2.28,"Up in X5H",8.722,28.3954652674033,2.85764320792069e-11,20.02,33,1.89598769174623e-09,4.80586587662614e-10,3.42606125204782e-08,TRUE,FALSE,FALSE
"COL6A1","Collagen alpha-1(VI) chain",-1.69,"Up in X1H",8.722,-28.3704688839697,2.8838751437749e-11,20.27,11,1.89598769174623e-09,3.366076541489e-10,2.65560998613206e-08,TRUE,FALSE,FALSE
"FRAS1","Extracellular matrix protein FRAS1",-1.85,"Up in X1H",8.722,-28.4263152715042,2.82562762088043e-11,18.39,27,1.89598769174623e-09,6.01836492214067e-10,3.91325991695674e-08,FALSE,FALSE,FALSE
"DDX18","ATP-dependent RNA helicase DDX18",-1.39,"Up in X1H",8.704,-28.1964332103078,3.07398335603836e-11,20.14,17,1.97703907800858e-09,7.97750536584101e-10,4.67355438115656e-08,FALSE,TRUE,FALSE
"ACY1","Aminoacylase-1",1.81,"Up in X5H",8.681,27.982559260444,3.32661643677671e-11,20.47,20,2.08368576113381e-09,6.26826663400284e-10,4.00843344446066e-08,FALSE,FALSE,FALSE
"CKAP4","Cytoskeleton-associated protein 4",0.81,"Up in X5H",8.681,27.9673343044626,3.34544781659137e-11,21.9,41,2.08368576113381e-09,9.52267280831799e-09,2.12625113233274e-07,FALSE,TRUE,FALSE
"GPI","Glucose-6-phosphate isomerase",1.32,"Up in X5H",8.681,27.935595827361,3.38508046463815e-11,21.06,22,2.08640844888166e-09,1.17329457229367e-09,5.43247176011121e-08,FALSE,FALSE,FALSE
"DDX10","Probable ATP-dependent RNA helicase DDX10",-1.4,"Up in X1H",8.636,-27.5489149515775,3.91149603442907e-11,17.84,15,2.31443220357168e-09,8.12967181586913e-10,4.71600667985271e-08,FALSE,TRUE,FALSE
"MDN1","Midasin",-1.27,"Up in X1H",8.606,-27.3446719002878,4.22520096371729e-11,17.38,34,2.4752984259718e-09,1.8605231374343e-09,7.29054000278062e-08,FALSE,TRUE,FALSE
"RBM14","RNA-binding protein 14",-1.34,"Up in X1H",8.583,-27.1802322929236,4.49779962559756e-11,20.33,22,2.60916474359419e-09,1.37634152661114e-09,6.00005044198621e-08,FALSE,TRUE,FALSE
"VCL","Vinculin",1.31,"Up in X5H",8.568,27.0621191760704,4.70546146754333e-11,19.54,40,2.70312771878193e-09,1.94417381542197e-09,7.42172675216243e-08,FALSE,FALSE,FALSE
"FGL1","Fibrinogen-like protein 1",-2.48,"Up in X1H",8.564,-27.0094618780331,4.80140264495146e-11,19.7,9,2.73172110097863e-09,3.93619596272665e-10,2.98277084791451e-08,FALSE,FALSE,FALSE
"NOP14","Nucleolar protein 14",-1.31,"Up in X1H",8.539,-26.8404289670249,5.12412917934009e-11,18.25,17,2.88756879563384e-09,1.28328291997976e-09,5.75241290721229e-08,FALSE,TRUE,FALSE
"SMC4","Structural maintenance of chromosomes protein 4",-2.05,"Up in X1H",8.535,-26.789499084455,5.22596374091564e-11,17.37,16,2.91717240141489e-09,7.02193656261682e-10,4.23967333071466e-08,TRUE,FALSE,FALSE
"PDCD11","Protein RRP5 homolog",-0.92,"Up in X1H",8.483,-26.4554762904283,5.95130741125883e-11,19.19,56,3.2910173787307e-09,7.56547618864144e-09,1.82713969829353e-07,FALSE,TRUE,FALSE
"DDX24","ATP-dependent RNA helicase DDX24",-1.86,"Up in X1H",8.481,-26.4177985561301,6.03980552940349e-11,18.07,15,3.30257752557062e-09,8.24516559381207e-10,4.73656745811515e-08,TRUE,FALSE,FALSE
"UGP2","UTP--glucose-1-phosphate uridylyltransferase",1.06,"Up in X5H",8.481,26.399274444198,6.08384232359637e-11,20.07,22,3.30257752557062e-09,3.05576065203523e-09,9.94965722001509e-08,FALSE,FALSE,FALSE
"DDX47","Probable ATP-dependent RNA helicase DDX47",-1.35,"Up in X1H",8.465,-26.2563972560192,6.43554225398609e-11,19.31,14,3.43054986638159e-09,1.15015194199793e-09,5.43247176011121e-08,FALSE,TRUE,FALSE
"PCSK6","Proprotein convertase subtilisin/kexin type 6",-1.01,"Up in X1H",8.465,-26.2656339106061,6.41214568375423e-11,19.42,11,3.43054986638159e-09,9.37469601573578e-10,4.99370684381364e-08,TRUE,FALSE,FALSE
"CDC73","Parafibromin",-0.86,"Up in X1H",8.441,-26.0951812823611,6.85931352360082e-11,18.79,20,3.62379983206661e-09,5.93411243875601e-09,1.56053970222753e-07,FALSE,TRUE,FALSE
"SPATA20","Spermatogenesis-associated protein 20",1.09,"Up in X5H",8.427,25.9689798163887,7.21235815988489e-11,18.22,18,3.74346695017885e-09,2.60959934910311e-09,9.11801420758859e-08,TRUE,FALSE,FALSE
"ADH4","All-trans-retinol dehydrogenase [NAD(+)] ADH4",2.07,"Up in X5H",8.423,25.8744031198337,7.48995992612497e-11,19.44,14,3.77562134734751e-09,8.71197375878718e-10,4.77303228988368e-08,FALSE,FALSE,FALSE
"CPD","Carboxypeptidase D",-0.95,"Up in X1H",8.423,-25.8534996853173,7.5528800285592e-11,19.91,24,3.77562134734751e-09,5.28194416493603e-09,1.42060289199666e-07,FALSE,TRUE,FALSE
"CSTB","Cystatin-B",2.17,"Up in X5H",8.423,25.8317114711816,7.61907932946128e-11,20.4,8,3.77562134734751e-09,5.00172874610249e-10,3.48179164596334e-08,TRUE,FALSE,FALSE
"SLC1A5","Neutral amino acid transporter B(0)",-1.51,"Up in X1H",8.423,-25.8192693500291,7.65716683592532e-11,20.71,10,3.77562134734751e-09,6.84799393544938e-10,4.21846359429737e-08,FALSE,FALSE,FALSE
"ARHGAP1","Rho GTPase-activating protein 1",1.75,"Up in X5H",8.423,25.7963684181625,7.72781620838961e-11,18.88,15,3.77896599215218e-09,1.06747365637673e-09,5.26353468731762e-08,FALSE,FALSE,FALSE
"ABHD14B","Protein ABHD14B",2.04,"Up in X5H",8.42,25.7619184754331,7.83544099992268e-11,19.01,9,3.8001888849625e-09,5.96582376943227e-10,3.91325991695674e-08,FALSE,FALSE,FALSE
"VTN","Vitronectin",-1.78,"Up in X1H",8.399,-25.6205584559893,8.29454965320916e-11,23.96,13,3.99015043073485e-09,9.87432314899774e-10,4.99370684381364e-08,FALSE,FALSE,FALSE
"MAN1A1","Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",-0.96,"Up in X1H",8.376,-25.4299646320577,8.96077675145643e-11,22.05,21,4.20800920939426e-09,4.98556527408523e-09,1.37848550125058e-07,FALSE,FALSE,FALSE
"DHX30","ATP-dependent RNA helicase DHX30",-0.77,"Up in X1H",8.37,-25.3796971055447,9.14609319589883e-11,19.4,43,4.26121523150656e-09,1.92261223180637e-08,3.45778011416361e-07,FALSE,TRUE,FALSE
"GRHPR","Glyoxylate reductase/hydroxypyruvate reductase",1.09,"Up in X5H",8.37,25.3409566535871,9.29177440044186e-11,19.61,17,4.26197125018717e-09,2.83592881024527e-09,9.52685765413128e-08,FALSE,TRUE,FALSE
"COMP","Thrombospondin-4;Cartilage oligomeric matrix protein",-2.21,"Up in X1H",8.369,-25.3131839332202,9.39777364094324e-11,20.21,11,4.27743281795855e-09,8.69278836235336e-10,4.77303228988368e-08,FALSE,FALSE,FALSE
"C","Capsid protein",-2.2,"Up in X1H",8.368,-25.2713662310868,9.55988139742952e-11,21.85,4,4.2852892597417e-09,5.5853612237447e-11,9.4682952914849e-09,FALSE,FALSE,FALSE
"ERO1A","ERO1-like protein beta;ERO1-like protein alpha",0.96,"Up in X5H",8.363,25.2079329792712,9.81165134642607e-11,21.98,33,4.33606365956201e-09,7.32673563740925e-09,1.79141713911366e-07,FALSE,TRUE,FALSE
"FTSJ3","pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3",-1,"Up in X1H",8.363,-25.1878180012448,9.89299635019219e-11,19.59,21,4.33606365956201e-09,4.64069100294543e-09,1.30756993640134e-07,FALSE,TRUE,FALSE
"GCA","Grancalcin",4.06,"Up in X5H",8.363,25.1952953577979,9.86267208850092e-11,16.65,3,4.33606365956201e-09,2.7490394027367e-10,2.42777106656613e-08,TRUE,FALSE,FALSE
"FTCD","Formimidoyltransferase-cyclodeaminase",1.56,"Up in X5H",8.345,25.0673559501132,1.03958496138527e-10,19.62,26,4.52295898273282e-09,2.05111066479844e-09,7.73291665062606e-08,FALSE,FALSE,FALSE
"NAT10","RNA cytidine acetyltransferase",-1.13,"Up in X1H",8.332,-24.9811017740477,1.07730664489279e-10,20.24,28,4.65286380863549e-09,4.29314775285198e-09,1.25135740165641e-07,FALSE,TRUE,FALSE
"PCYT2","Ethanolamine-phosphate cytidylyltransferase",1.24,"Up in X5H",8.315,24.8658962328187,1.13004408474277e-10,20.17,20,4.84526873146593e-09,2.92309143173955e-09,9.71681573123761e-08,FALSE,FALSE,FALSE
"PRDX6","Peroxiredoxin-6",1.26,"Up in X5H",8.312,24.8321618108915,1.1460163319634e-10,23,20,4.87840189656649e-09,2.84984587591894e-09,9.52685765413128e-08,FALSE,FALSE,FALSE
"GTPBP4","Nucleolar GTP-binding protein 1",-1.19,"Up in X1H",8.297,-24.7316715126353,1.19507708483474e-10,19.99,22,5.0509079364051e-09,3.53294064954585e-09,1.11574014665731e-07,FALSE,TRUE,FALSE
"DDX54","ATP-dependent RNA helicase DDX54",-1.1,"Up in X1H",8.293,-24.6926927533966,1.21472151639029e-10,19.44,23,5.09752284573144e-09,4.46669743467295e-09,1.27678496236521e-07,FALSE,TRUE,FALSE
"APOB","Apolipoprotein B-100",-1.07,"Up in X1H",8.291,-24.6521391794934,1.23553516686993e-10,23.28,206,5.11235075690166e-09,6.40233801441838e-09,1.61891598424417e-07,FALSE,FALSE,FALSE
"HSPA13","Heat shock 70 kDa protein 13",-1.71,"Up in X1H",8.291,-24.6680193365307,1.2273387560614e-10,18.59,9,5.11235075690166e-09,8.66823140809471e-10,4.77303228988368e-08,FALSE,FALSE,FALSE
"TFB2M","Dimethyladenosine transferase 2, mitochondrial",-1.09,"Up in X1H",8.288,-24.6189326865305,1.25286858350414e-10,18.37,9,5.14807181152359e-09,7.20789405393437e-10,4.26491091171297e-08,FALSE,TRUE,FALSE
"PREP","Prolyl endopeptidase",0.94,"Up in X5H",8.273,24.4850835632115,1.32548247735423e-10,18.97,21,5.33529239354082e-09,6.83446480383616e-09,1.69203047047274e-07,FALSE,FALSE,FALSE
"NPEPPS","Puromycin-sensitive aminopeptidase",0.84,"Up in X5H",8.265,24.4274952998052,1.35813009022435e-10,20.63,41,5.42976739449829e-09,1.56283167759004e-08,2.98336930624351e-07,FALSE,FALSE,FALSE
"BLVRB","Flavin reductase (NADPH)",2.01,"Up in X5H",8.248,24.2862366144865,1.44199802929939e-10,18.72,10,5.6505313505725e-09,1.18180510850771e-09,5.43247176011121e-08,TRUE,FALSE,FALSE
"ITIH2","Inter-alpha-trypsin inhibitor heavy chain H2",-0.89,"Up in X1H",8.248,-24.2964870126543,1.4357253532192e-10,21.48,31,5.6505313505725e-09,1.13187599944461e-08,2.38338444438212e-07,FALSE,FALSE,FALSE
"ADH5","Alcohol dehydrogenase class-3",1.1,"Up in X5H",8.246,24.2300261287923,1.47693294940732e-10,20.37,18,5.67468328678124e-09,4.08016244241717e-09,1.20711605858912e-07,FALSE,FALSE,FALSE
"CCAR2","Cell cycle and apoptosis regulator protein 2",-0.71,"Up in X1H",8.246,-24.2344797754269,1.47413150461382e-10,19.72,24,5.67468328678124e-09,2.38747622267445e-08,4.0477641288151e-07,FALSE,TRUE,FALSE
"CCS","Copper chaperone for superoxide dismutase",1.95,"Up in X5H",8.201,23.903619275366,1.6990051452577e-10,18.48,6,6.29417168378487e-09,5.18270963131531e-10,3.48478328278326e-08,FALSE,FALSE,FALSE
"SOD2","Superoxide dismutase [Mn], mitochondrial",1.23,"Up in X5H",8.201,23.8995562038178,1.70198997702481e-10,22.22,18,6.29417168378487e-09,3.64312148948856e-09,1.12860470436146e-07,FALSE,TRUE,FALSE
"ASPH","Aspartyl/asparaginyl beta-hydroxylase",0.67,"Up in X5H",8.198,23.8538693156595,1.73595036152577e-10,21.11,32,6.34270478636578e-09,4.2370994509308e-08,5.88519188994308e-07,FALSE,TRUE,FALSE
"UTP6","U3 small nucleolar RNA-associated protein 6 homolog",-1.38,"Up in X1H",8.198,-23.8530679648698,1.73655260333151e-10,18.25,15,6.34270478636578e-09,2.635086073175e-09,9.11801420758859e-08,FALSE,TRUE,FALSE
"AMPD2","AMP deaminase 2",1.28,"Up in X5H",8.18,23.7468466269471,1.81844109097194e-10,18.37,13,6.60105272103125e-09,2.50397841076971e-09,8.92532545573759e-08,FALSE,FALSE,FALSE
"NOC4L","Nucleolar complex protein 4 homolog",-1.19,"Up in X1H",8.177,-23.7168104611136,1.8423558294111e-10,18.58,19,6.64708502599116e-09,4.27218071972293e-09,1.25135740165641e-07,FALSE,TRUE,FALSE
"MPI","Mannose-6-phosphate isomerase",2.43,"Up in X5H",8.166,23.6440427996988,1.90173168412649e-10,17.53,9,6.81972507574331e-09,1.38922918802114e-09,6.00005044198621e-08,TRUE,FALSE,FALSE
"ALDH4A1","Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",0.68,"Up in X5H",8.165,23.6081070096625,1.9318233181878e-10,21.59,27,6.8446698046211e-09,3.66614396766039e-08,5.34299848685875e-07,FALSE,FALSE,FALSE
"UTP15","U3 small nucleolar RNA-associated protein 15 homolog",-1.28,"Up in X1H",8.165,-23.6190165326967,1.92263330583717e-10,18.33,20,6.8446698046211e-09,4.0089881524877e-09,1.20266615952524e-07,FALSE,TRUE,FALSE
